trial_type.cue_LargeGain	trial_type.cue_LargeLoss	trial_type.cue_NoMoneyStake	trial_type.cue_SmallGain	trial_type.cue_SmallLoss	trial_type.fb_hit_LargeGain	trial_type.fb_hit_LargeLoss	trial_type.fb_hit_NoMoneyStake	trial_type.fb_hit_SmallGain	trial_type.fb_hit_SmallLoss	trial_type.fb_miss_LargeGain	trial_type.fb_miss_LargeLoss	trial_type.fb_miss_NoMoneyStake	trial_type.fb_miss_SmallGain	trial_type.fb_miss_SmallLoss	trial_type.fix_LargeGain	trial_type.fix_LargeLoss	trial_type.fix_NoMoneyStake	trial_type.fix_SmallGain	trial_type.fix_SmallLoss	trial_type.probe	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
0.1844360911465397	-0.0038905815645994	-1.3224796419598206e-19	0.1794140456379088	-0.0226773473044817	0.3877597674467591	2.9889082590485843e-16	-5.6637282180179155e-19	-1.0764278657380674e-05	-0.0292981098082223	-0.0014479676464039	-0.0112738423281217	6.977279080556659e-23	-1.0565578325165877e-18	-2.11909260786364e-47	0.2707538468743619	-0.0055616172118925	-7.388180395523744e-20	0.0076489470789439	-0.0324837720161187	0.0651385078361085	0.013431441070054	-0.0083359046014521	6.948730552451032e-05	0.0001804036092183	-0.1502239071223243	0.0149604566449141	0.0002238152630243	0.0225672222710967	-0.0429599927792878	-0.0125277871867411	0.0001569454517962	0.0018455609795964	0.0010349784798438	0.0001670343050335	2.7900459058024373e-08	1.0711804537397833e-06	0.0003010729430452	4.688359730459999e-05	2.1980716962198956e-09	9.064491703389822e-08	0.0001403442378303	-0.000296045230407	8.76427784467929e-08	1.969650509216781e-08	0.0383529659	-0.0281327524	-0.0691368476	-0.0475193028	1
0.1152708126490272	-0.0028045801769316	4.1006859998113064e-19	0.2932209749865321	-0.01866594346057	0.3697163749792547	-1.312720216136136e-16	2.000851713318021e-19	1.835888826902226e-05	-0.0293294258589384	-0.001010836904916	-0.0088080551236668	-1.4755180194837516e-22	3.103419971425074e-18	-3.610772292711959e-46	0.207662389888645	-0.0041454784216503	7.917490845252206e-20	0.0442039856875849	-0.0287357111047763	0.0542453976440709	0.0239784190858927	0.0105469780158387	0.0001112387452665	0.0005749645818587	-0.1620864403424349	-0.0118625332201106	0.0001407196943982	0.0262720141428817	-0.0262385171532031	0.0167214756260847	0.0002796077471137	0.0006884597823989	0.0005189792996582	-0.0005159991801856	2.662551539522114e-07	2.693395134737157e-07	0.0001695630523488	-0.0001315098906963	1.7294851350979066e-08	2.8751628721841893e-08	0.0002429558858987	0.0001026116480683	1.0529150319313173e-08	5.9027562492822136e-08	0.0378989017	-0.0291205773	-0.0693864472	-0.0459057137	1
0.0599470792270444	-0.0019926071009705	-1.2205019523421532e-18	0.3765568021621965	-0.0149972810015837	0.3210003177522359	5.589438221540404e-17	-6.872988285499788e-20	0.0002491013666853	-0.0278191007166193	-0.0006967840833586	-0.0067454764693243	2.895284508521017e-22	-8.848282912115937e-18	1.9969408989784022e-45	0.1461170683879904	-0.003038832207898	-1.4838573910880554e-19	0.127392207252164	-0.0246249705215475	0.0427053644621697	0.023036531710602	-0.0009418873752907	8.871518277320043e-07	0.0005306817932535	-0.2006083811935468	-0.0385219408511118	0.0014839399269365	0.0402437226050953	-0.0292468464421062	-0.0030083292889031	9.05004511047223e-06	0.0008553780268081	0.0003369561153082	-0.0001820231843499	3.313243964091407e-08	1.13539423643593e-07	0.0002140690814502	4.4506029101399984e-05	1.9807866263746624e-09	4.582557163293236e-08	0.0004099639352481	0.0001670080493494	2.789168854749164e-08	1.6807042820410832e-07	0.0374425794	-0.0301014623	-0.0695988411	-0.044248366	1
0.0182870265192239	-0.0013965233093605	3.517418495632364e-18	0.407404684758675	-0.011786284915808	0.2556491903731051	-2.3204172560978018e-17	2.2786596192384843e-20	0.0077480113973241	-0.0252874260941771	-0.0004746742628314	-0.0050711076925044	-4.966471480204404e-22	2.461668510712429e-17	-7.833723894969782e-45	0.0925787715166093	-0.00219315062456	3.3370831824633433e-19	0.2412197907063332	-0.0205176203435446	0.0396421740670635	0.0204144153585872	-0.0026221163520148	6.875494163503402e-06	0.0004167483544329	-0.200485715076951	0.0001226661165957	1.5046976160690003e-08	0.0401945219499163	-0.0511387814812565	-0.0218919350391503	0.0004792568197583	0.0026151749713877	0.0012069262782945	0.0008699701629862	7.568480844864091e-07	1.4566710412378128e-06	0.0002278940896593	1.382500820910001e-05	1.9113085198168262e-10	5.1935716101641067e-08	0.0006523626484609	0.0002423987132127	5.875713616722124e-08	4.2557702510691974e-07	0.0369840262	-0.0310751734	-0.0697739155	-0.0425488396	1
-0.011404508160111	-0.0009662449563104	-9.874784572073768e-18	0.3884353880111884	-0.0090761080675182	0.187213751223362	9.425469329856324e-18	-7.198870096003177e-21	0.0443902970605351	-0.0221830684228846	-0.0003194881593379	-0.0037472009104858	6.073326701672596e-22	-6.704700034560625e-17	2.6834026070548124e-44	0.0495532956864715	-0.0015598233792206	-7.613838197538879e-19	0.3432467496492434	-0.0166685371006216	0.0477101420259972	0.0215214926091107	0.0011070772505234	1.2256200386266708e-06	0.000463174644124	-0.1942470152327899	0.0062386998441611	3.892137574553594e-05	0.0377319029268477	-0.0681670190701311	-0.0170282375888746	0.0002899608753831	0.0046467424889076	0.0015390415010832	0.0003321152227887	1.103005212079879e-07	2.3686487420564294e-06	-0.0001616163638809	-0.0003895104535402	1.5171839341709234e-07	2.6119849074083483e-08	0.0004981241186573	-0.0001542385298035	2.3789524075976e-08	2.4812763758811185e-07	0.0365232695	-0.0320414786	-0.0699115766	-0.0408087545	1
-0.0244791183622311	-0.0006605748053225	2.71104264508684e-17	0.3360948708740011	-0.0068585626209952	0.1248887151014025	-3.75433077685435e-18	2.114823162769879e-21	0.1226783915561321	-0.0188685378918341	-0.00021285970542	-0.0027247115535142	2.1488078789369965e-22	1.7913932534910195e-16	-8.525049453540804e-44	0.0169659848785352	-0.0010942954009553	1.6884775833265704e-18	0.3997528153273728	-0.0132333222104075	0.0594782810152748	0.0177694773075671	-0.0037520153015436	1.4077618823017312e-05	0.0003157543237841	-0.2129188885794377	-0.0186718733466478	0.0003486388542732	0.045334453113903	-0.0656596421921023	0.0025073768780288	6.286938808473492e-06	0.0043111886127949	0.0013025204846325	-0.0002365210164506	5.5942191222872266e-08	1.696559612887283e-06	-8.770506469235606e-05	7.391129918854394e-05	5.4628801477384565e-09	7.692178372690362e-09	0.0004530569796188	-4.506713903849999e-05	2.031047021115489e-09	2.0526062678130975e-07	0.0360603366	-0.0330001477	-0.0700117504	-0.0390297693	1
-0.0012320817451806	-0.0004460851380045	-7.296508314023526e-17	0.2688815524555929	-0.0050927093722378	0.0731369020621801	1.4682577734835833e-18	-5.4623915811091175e-22	0.2197065087038655	-0.0156153081166236	-0.0001121047825479	-0.0019515746757741	-5.182427632174233e-21	-4.700696265900868e-16	2.577679203384089e-43	-0.0065346144154346	-0.000757706297478	-3.568647949904848e-18	0.4026611285896687	-0.0102862708474901	0.0667738375729942	0.0309544922575639	0.0131850149499968	0.0001738446192316	0.0009581805909235	-0.2374674374205625	-0.0245485488411248	0.000602631250205	0.0563907838350887	-0.0663714319316852	-0.0007117897395828	5.066446333754916e-07	0.0044051669766623	0.0020719380013624	0.0007694175167298	5.920033150508057e-07	4.292927081489617e-06	0.00019219381383	0.0002798988785223	7.834338219807267e-08	3.69384620745207e-08	0.0006698010179185	0.0002167440382997	4.6977978138461854e-08	4.4863340360465883e-07	0.0355952553	-0.0339509522	-0.0700743833	-0.0372135799	1
0.0744035546850751	-0.0002984636910924	1.927955057897301e-16	0.200861582906037	-0.0037201042903035	0.0329417167597357	-5.640829331595728e-19	1.0312005115780156e-22	0.2972355982678031	-0.0126071718058186	-1.7465364952400965e-05	-0.0013781830070294	2.518240742008879e-20	1.2119535942740729e-15	-7.517794250371853e-43	-0.0205439366349217	-0.0005185974521425	6.997487264851214e-18	0.3635984896986683	-0.0078408369133254	0.0660962571603039	0.0196336024111758	-0.0113208898463881	0.000128162546914	0.0003854783436401	-0.1974685374450189	0.0399988999755435	0.0015999119992535	0.0389938232806748	-0.0810620072301162	-0.014690575298431	0.0002158130025988	0.0065710490161754	0.0018409745483939	-0.0002309634529685	5.3344116607132506e-08	3.389187287834124e-06	0.0001762637702615	-1.593004356850001e-05	2.537662880943085e-10	3.106891670679885e-08	0.0002868381224264	-0.0003829628954921	1.4666057932369316e-07	8.227610847710243e-08	0.0351280531	-0.0348936654	-0.0700994416	-0.0353619176	1
0.185578928605437	-0.0001663122098741	-5.004796038317851e-16	0.1401079621898431	-0.0026761055021888	0.0033398813045608	2.1286437050882788e-19	2.38512852950394e-24	0.3322195443874695	-0.009951319332203	-8.37401476739162e-06	-0.0009603604162417	-9.457560436718708e-20	-3.069581311131864e-15	2.1312164359379722e-42	-0.0114876581273125	-0.0003500974127722	-1.1984024317670973e-17	0.3012673777247574	-0.0058693447596256	0.0584546356684202	0.0280121222064195	0.0083785197952437	7.019959395929056e-05	0.0007846789905073	-0.2188810562848289	-0.0214125188398099	0.0004584959630652	0.0479089168003624	-0.0683717584877285	0.0126902487423876	0.0001610424131436	0.0046746973587042	0.0017929159827657	-4.8058565628200005e-05	2.309625730240007e-09	3.2145477212566955e-06	0.0003229659417276	0.0001467021714661	2.152152711286901e-08	1.0430699951599556e-07	0.0005192106718077	0.0002323725493812	5.3997001705964686e-08	2.695797217190031e-07	0.034658758	-0.0358280628	-0.0700869121	-0.0334765472	1
0.2888659109884579	-5.738620129495064e-05	1.276455677979426e-15	0.0898224075666936	-0.0018976285498177	-0.017395605081977	-7.883895150289058e-20	-1.7152797087828928e-23	0.3237847375927858	-0.0076935730537529	1.6962291366906823e-05	-0.000660890464715	3.167816264650635e-19	7.63080276137184e-15	-5.900498957190097e-42	0.0431836251907598	-0.0002357669977565	1.4571636761529366e-17	0.2322630209831553	-0.0043199158605677	0.0467488646062179	0.0237789455782149	-0.0042331766282046	1.7919784365577675e-05	0.0005654382528117	-0.2111481459167947	0.0077329103680341	5.9797902760050766e-05	0.0445835395241	-0.059943242479207	0.0084285160085215	7.10398821059032e-05	0.003593192318921	0.0019009414896968	0.0001080255069311	1.1669510147721144e-08	3.61357854725069e-06	0.0002389778338434	-8.398810788420001e-05	7.054002265968021e-09	5.71104050684837e-08	0.0005027733298585	-1.6437341949199972e-05	2.7018621035492913e-10	2.527810212170041e-07	0.0341873979	-0.0367539216	-0.0700368013	-0.0315592662	1
0.3492488495606977	-2.1972027891121338e-06	-3.1966730556575493e-15	0.0502156905187595	-0.001327466405019	-0.0310623526812388	2.861356688951652e-20	1.275605099449526e-23	0.2846632973790877	-0.0058349488555236	0.0001567481684829	-0.0004494325892871	-9.923754897228126e-19	-1.8588415287489052e-14	1.6001372721901432e-41	0.1508021704311478	-0.0001440786413977	5.633033299893447e-18	0.1674434087319327	-0.0031296685732686	0.0351465394553419	0.0195728131203196	-0.0042061324578952	1.7691550253360353e-05	0.0003830950134429	-0.1816065412694598	0.0295416046473349	0.0008727064051394	0.032980935831856	-0.071641211007531	-0.0116979685283239	0.0001368424676896	0.0051324631146255	0.0019480072153696	4.706572567280006e-05	2.21518253310727e-09	3.794732111132023e-06	-4.022040092221957e-05	-0.0002791982347656	7.795165429623803e-08	1.61768065034408e-09	0.0002870397404743	-0.0002157335893842	4.6540981588590606e-08	8.23918126115535e-08	0.0337140008	-0.0376710211	-0.0699491361	-0.029611902	1
0.3575529773089381	8.160421601403512e-08	7.850358210508501e-15	0.0201138099168921	-0.0009169747420809	-0.0392309747745396	-1.0149672269890666e-20	-7.200116557120482e-24	0.2306436417095035	-0.0043470934346146	0.0063875396706685	-0.0003021658103287	2.971054617840474e-18	4.4249746894081277e-14	-4.2581114421510325e-41	0.2859176532782596	-4.51555588007787e-05	-1.2684353616848704e-16	0.1120760715535975	-0.0022340037230834	0.0316869809448382	0.03219497704832	0.0126221639280004	0.0001593190222253	0.0010365165471418	-0.215959159321244	-0.0343526180517841	0.0011801023670117	0.0466383584947384	-0.0391019451123071	0.0325392658952239	0.001058803825	0.0015289621115658	0.0013459573727702	-0.0006020498425994	3.624640129739625e-07	1.811601249314459e-06	0.0001598635002406	0.0002000839011628	4.003356750453296e-08	2.5556338709176326e-08	0.0005398925564698	0.0002528528159955	6.393454655685418e-08	2.9148397253149615e-07	0.033238595	-0.0385791428	-0.0698239636	-0.0276363109	1
0.324542542728499	-3.7496143086032815e-08	-1.88622642448982e-14	-0.0020312879608567	-0.0006256062387333	-0.0431831124087853	3.503879716285057e-21	3.6070955784434255e-24	0.1742971042154501	-0.0031852008205458	0.0397744967560688	-0.0001999503088665	-8.599613413758326e-18	-1.0249103960933225e-13	1.1129874056375007e-40	0.4009872181580008	5.426961321601555e-07	6.139632220911253e-16	0.0675460497293102	-0.0015726744995989	0.0394434915576231	0.0196080931128932	-0.0125868839354268	0.0001584296472039	0.0003844773155238	-0.2019603428541643	0.0139988164670796	0.0001959668624789	0.0407879800857716	-0.0508099911048702	-0.0117080459925631	0.0001370783409639	0.0025816551960769	0.0011109623670633	-0.0002349950057069	5.5222652707185974e-08	1.2342373810308904e-06	0.0001597966362403	-6.68640002999979e-08	4.4707945361181206e-15	2.5534964953714764e-08	0.0005339113376132	-5.981218856600007e-06	3.57749790105475e-11	2.850613164319164e-07	0.0327612089	-0.0394780704	-0.0696613509	-0.0256343761	1
0.2738427435289744	3.5389060100451403e-08	4.418042527251887e-14	-0.0176655136362964	-0.0004224536562348	-0.0439571967919869	-1.1692169809966965e-21	-1.686723490015893e-24	0.1231443379706184	-0.0022978346281928	0.115355012637148	-9.566389542076062e-05	2.4228414397019586e-17	2.2935285432902697e-13	-2.858272697875169e-40	0.4608886258880089	-5.118208309304149e-07	-2.3027658135464083e-15	0.0331661874249895	-0.0010925467319718	0.0515890709787195	0.0258713376785379	0.0062632445656447	3.922823248907789e-05	0.0006693261132769	-0.2322316550451262	-0.0302713121909618	0.0009163523417626	0.0539315416049984	-0.040765131902603	0.0100448592022672	0.0001008991963933	0.0016617959790366	0.0012949266444446	0.0001839642773813	3.384285535242389e-08	1.6768350144925515e-06	0.0001601041330976	3.074968572999953e-07	9.455431724937368e-14	2.5633333434934013e-08	0.0009323970630656	0.0003984857254524	1.5879087338932556e-07	8.693642832133565e-07	0.0322818708	-0.0403675894	-0.0694613851	-0.0236080059	1
