trial_type.neutral_cue	trial_type.neutral_prep	trial_type.neutral_resp	trial_type.reward_cue	trial_type.reward_prep	trial_type.reward_resp	trial_type.vgs_prep	trial_type.vgs_resp	incorrect	drop	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
-1.0573204051921774e-14	-5.0555041314308646e-15	-2.8980692541362e-15	-0.0195191515907975	0.0409531642168405	0.1036697030669179	-8.767503924159615e-05	-2.9329512488302853e-05	-4.3668070723528495e-16	-2.125939644690295e-16	-0.2450349999999995	-0.0001270000000002	1.6128999078390786e-08	0.0600421512249984	-0.0591698000000037	-0.0406280000000005	0.0016506343839995	0.0035010652320434	0.1533970000000005	-0.0303970000000012	0.0009239776089992	0.0235306396090004	0.0034110600000007	-1.1380851808303534e-15	-1.2668702425483284e-15	1.1635330323271384e-05	0.002011739999999	0.0007773100000017	6.042108368904646e-07	4.0470978281053895e-06	-0.0021585599999996	0.0002490900000023	6.204582801623436e-08	4.659381273913232e-06	0.0291332883000002	-0.0788485412000007	-0.0767673261000033	0.0324718086000017	1
1.5682602742619587e-14	-1.1525516356998566e-14	-4.606336029430609e-15	-0.0279572913975344	-0.0185765019130817	0.039606696271917	0.0001670297458227	7.143386413623867e-05	-8.101200177299632e-17	-2.1546481178784046e-16	-0.2642659999999996	-0.0192309999999999	0.0003698313609998	0.0698365187559988	-0.0173392000000024	0.0418306000000018	0.0017497990963594	0.0003006478566405	0.1977190000000012	0.0443220000000011	0.0019644396840001	0.0390928029610025	0.003155770000001	-0.00025529	6.517298233037584e-08	9.958884292657518e-06	0.0016098699999995	-0.0004018700000002	1.6149949715484857e-07	2.5916814173047323e-06	-0.0026626400000006	-0.0005040800000029	2.5409664745801813e-07	7.0896517689763e-06	0.0277867445000008	-0.0804378923000002	-0.0741349132000038	0.0377214888000022	1
-5.051018354000424e-14	4.678260598871996e-15	-6.628693336538516e-16	-0.028292369825281	-0.0476136024307065	0.0008781210859906	-0.000308739241285	-0.0001635759895255	-1.5962741598537386e-16	-3.4889720243098735e-17	-0.2361209999999995	0.0281450000000013	0.0007921410249991	0.0557531266409982	-0.0452265000000027	-0.0278873000000002	0.0007777015012886	0.002045436302252	0.1712020000000011	-0.026517000000001	0.000703151288999	0.0293101248040017	0.0035435200000009	0.0003877499999996	1.50350060986677e-07	1.2556533990097914e-05	0.0013611799999978	-0.0002486900000008	6.184671461518861e-08	1.852810991116097e-06	-0.0020014599999996	0.000661180000003	4.371589961116085e-07	4.005842131742598e-06	0.0264342681000005	-0.0819585503000006	-0.0713600647000037	0.0428423417000023	1
1.1237201594905233e-13	-3.5379370959881175e-14	-1.0982126328881136e-14	-0.0241287966311802	-0.0562729066737068	-0.0196996520491971	0.0220091656216908	0.000341795331127	-3.5479491215377644e-16	-1.3011638105020246e-16	-0.229325999999999	0.0067950000000005	4.617202499932807e-05	0.0525904142759983	0.0154274999999984	0.0606540000000025	0.0036789077160023	0.0002380077562487	0.1060140000000001	-0.065188000000002	0.0042494753440008	0.0112389681959986	0.0030965100000006	-0.0004470100000023	1.9981793871636145e-07	9.58837418068066e-06	0.001016769999998	-0.0003444099999986	1.1861824728246857e-07	1.0338212330718225e-06	-0.0020426599999996	-4.120000000059301e-05	1.6974395547430066e-09	4.17245987501659e-06	0.0250761477000002	-0.0834092167000015	-0.0684481119000036	0.0478168784000019	1
-2.7771700274422453e-13	6.159761378810437e-14	1.6163293747137993e-14	-0.0180750541124367	-0.0523772311032973	-0.0280077688078741	0.1798013194044724	-0.0006676860696157	-3.901819220091718e-16	-1.2680930719130254e-16	-0.2166159999999989	0.0127100000000003	0.0001615440999989	0.0469224914559979	-0.0327091000000025	-0.0481366000000009	0.0023171322595605	0.0010698852228104	0.1213849999999999	0.0153710000000005	0.0002362676409986	0.0147343182249993	0.0036368900000009	0.0005403800000008	2.920105443043148e-07	1.3226968871777929e-05	0.0015380299999983	0.0005212600000014	2.7171198758156186e-07	2.36553628069847e-06	-0.00204267	-9.99999984663049e-09	-6.208801136587485e-16	4.172500728625448e-06	0.0237126733999998	-0.0847886526000019	-0.0654046496000037	0.052628109800002	1
6.293340337570165e-13	-1.677708247514406e-13	-5.168045909310083e-14	-0.0125531794757887	-0.0421301632471033	-0.0282611513572874	0.4519055372318248	0.0232613526869842	2.7219187173347293e-16	-2.5367436039008954e-16	-0.2505059999999989	-0.0338900000000009	0.0011485321000012	0.0627532560359992	0.0036542299999984	0.0363633300000014	0.0013222917686886	1.3353396892142175e-05	0.1767960000000012	0.0554110000000011	0.0030703789210002	0.0312568256160012	0.0032735600000004	-0.0003633300000002	1.3200868757235634e-07	1.071619507306525e-05	0.0014100899999993	-0.0001279399999997	1.636864332637865e-08	1.988353807208106e-06	-0.0020426699999989	8.359248166010851e-17	-1.0035990196561617e-15	4.172500728864798e-06	0.0223441362000007	-0.0860956800000009	-0.0622355251000039	0.0572596044000028	1
-1.393753847864955e-12	3.534798465173715e-13	1.1749541031476846e-13	-0.0074754775661507	-0.0305536028843475	-0.0240589826871313	0.5888435937114307	0.1583326776307572	1.726730692410101e-16	-4.179913735629655e-17	-0.2504829999999989	2.299999999980927e-05	5.289991077038572e-10	0.0627417332889994	-0.0412927000000023	-0.0449469300000008	0.0020202265164254	0.0017050870732915	0.1306400000000006	-0.0461560000000021	0.0021303763359993	0.0170668096	0.0038463700000003	0.0005728100000005	3.281112955227992e-07	1.479456217650381e-05	0.0016570599999983	0.0002469699999991	6.099417999816514e-08	2.7458478420297653e-06	-0.002042669999998	3.6102988539437276e-16	-5.78435045390045e-16	4.172500729884831e-06	0.0209708283000006	-0.0873291827000011	-0.0589468273000038	0.0616955446000029	1
2.871057810231625e-12	-7.756290545341933e-13	-2.8993724860799937e-13	-0.0053273597024853	-0.0199657282113681	-0.017993039795611	0.5009579998762714	0.294914210005909	1.639230433462233e-16	-7.231044181238327e-17	-0.2717829999999988	-0.0213000000000001	0.0004536900000001	0.0738659990889995	0.0087248099999986	0.0500175100000018	0.0025017513066013	7.612230953492929e-05	0.1186439999999999	-0.0119960000000008	0.0001439040159986	0.0140763987359993	0.0029234399999999	-0.0009229300000021	8.517997867965187e-07	8.546501433722898e-06	0.0016085499999985	-4.8509999998809744e-05	2.353219321243784e-09	2.5874331030177224e-06	-0.0028265200000003	-0.0007838500000029	6.144208272886691e-07	7.989215311176002e-06	0.0195930430000006	-0.0884881073000014	-0.0555448749000035	0.0659207808000026	1
-5.358430309042457e-12	1.501190440161376e-12	6.646085089393825e-13	0.0216990234759555	-0.012754235174552	-0.0124935704440991	0.3198621331684322	0.2936804176370702	1.803665232239234e-16	3.043046576082713e-17	-0.263576999999999	0.0082060000000005	6.733843599975145e-05	0.0694728349289989	-0.0179480000000013	-0.0266728100000004	0.0007114387932953	0.0003221307039995	0.1108879999999997	-0.0077560000000002	6.015553599906556e-05	0.0122961485439996	0.0039784700000008	0.0010550300000025	1.1130883043013696e-06	1.5828223540387168e-05	0.0019992199999992	0.000390670000001	1.5262304866258148e-07	3.996880608719055e-06	-0.0027151300000006	0.0001113900000009	1.2407731262530061e-08	7.371930917317665e-06	0.0182110744000004	-0.0895714640000018	-0.0520362039000032	0.0699208827000024	1
7.999389434217463e-12	-2.549208462248985e-12	-1.493741018870037e-12	0.1592159625015874	0.0167207566903934	-0.0074059409990011	0.1586056767359183	0.2061419680613001	3.641816406446459e-16	-8.795438582038194e-17	-0.3009909999999991	-0.0374140000000017	0.0013998073960018	0.0905955820809999	-0.0115736000000013	0.0063743999999998	4.063297535876288e-05	0.0001339482169595	0.1450770000000005	0.0341890000000006	0.0011688877209997	0.0210473359289998	0.0035642300000002	-0.0004142399999999	1.715947777444773e-07	1.270373549134766e-05	0.0022594500000002	0.0002602300000004	6.771965256933102e-08	5.105114303621751e-06	-0.0027772199999991	-6.20899999986519e-05	3.8551662912525415e-09	7.712950927970781e-06	0.0168252176000006	-0.0905783278000014	-0.0484275557000024	0.0736821892000027	1
-4.60496894853572e-12	2.792129311478668e-12	3.1450636571809456e-12	0.2951285405230042	0.1823559573163349	-0.0053206265549484	0.049945132916096	0.1125805719842332	1.883636579828798e-16	-2.27284785507755e-16	-0.3024909999999989	-0.0015000000000004	2.250000000360514e-06	0.091500805081	0.0216328999999996	0.0332065000000007	0.0011026716422503	0.0004679823624087	0.045891599999999	-0.0991854000000033	0.0098377435731645	0.0021060389505588	0.0037954999999995	0.0002312700000001	5.348581184210747e-08	1.4405820249184852e-05	0.0019764400000001	-0.0002830100000007	8.009465990724919e-08	3.906315073152572e-06	-0.0029103799999995	-0.0001331600000008	1.773158494071834e-08	8.470311744177258e-06	0.015435768400001	-0.0915078388000017	-0.0447258634000017	0.0771918544000022	1
-3.15634770789921e-11	3.0350846831344997e-12	-6.090190505711802e-12	0.2925028185180292	0.4561437083334362	0.0227328359327028	-0.0132394915988504	0.045215085849258	1.413630335573973e-16	-3.293403076090965e-16	-0.2959869999999998	0.0065039999999998	4.230201600027816e-05	0.0876083041689994	0.0284009999999993	0.0067680999999998	4.58071776091038e-05	0.0008066168009994	0.0460746999999984	0.0001831000000001	3.3525608751396336e-08	0.0021228779800894	0.0033655999999996	-0.0004299000000012	1.8481401050578226e-07	1.1327263358778883e-05	0.0015551699999979	-0.0004212700000005	1.7746841254142057e-07	2.418553727485229e-06	-0.0027496899999999	0.0001606900000009	2.5821274962303783e-08	7.560795093801049e-06	0.0140430236000008	-0.0923592032000018	-0.0409382393000018	0.080437892300002	1
1.968591848355728e-10	-3.5350855080918816e-11	9.918476714134852e-12	0.2047980328548536	0.5879522328829201	0.1614712516022352	-0.0444519415606752	0.0042406615694461	-2.7404632916221207e-16	-5.639846525532377e-16	-0.3012640000000004	-0.0052770000000006	2.7846729000728423e-05	0.090759997695999	0.0283524999999988	-4.850000000002676e-05	2.352248628623206e-09	0.0008038642562502	6.311609999703532e-05	-0.0460115839000012	0.0021170658529869	3.983642509688284e-09	0.0037290600000002	0.0003634600000005	1.3210317095588746e-07	1.3905888482059351e-05	0.0019693499999985	0.0004141800000013	1.7154507266657214e-07	3.87833942281988e-06	-0.0029180100000003	-0.000168320000001	2.8331622030657183e-08	8.514782357586588e-06	0.0126472805000007	-0.0931316938000017	-0.0370719604000016	0.0834092167000015	1
-8.091514747144361e-10	1.6351224582319408e-10	-9.516753185550132e-12	0.1113249671970609	0.4963293537317384	0.2960155782485476	-0.0543043552953166	-0.0177377144397883	1.4440892823360855e-16	-7.783006339157295e-16	-0.2978070000000004	0.0034570000000007	1.195084900026442e-05	0.0886890092489987	0.0764495000000002	0.0480970000000016	0.0023133214089997	0.0058445260502495	0.0077387199999969	0.0076756039000006	5.891489522935908e-05	5.988778723883324e-05	0.0038916199999999	0.0001625600000005	2.6425753293748917e-08	1.5144706222611528e-05	0.001555169999999	-0.0004141799999995	1.7154507262382557e-07	2.418553726569313e-06	-0.0029086100000014	9.399999999251324e-06	8.835964741407121e-11	8.460012130250394e-06	0.0112488371000011	-0.0938246511000021	-0.0331344550000012	0.0860956800000012	1
2.8591743466735733e-09	-6.086853296872746e-10	-1.928188819829053e-11	0.0449459051536202	0.3149058871054589	0.2916913645927189	-0.0510070325751992	-0.026814434796792	3.6164634851953215e-16	-6.596528591825268e-16	-0.3076470000000005	-0.0098400000000003	9.682560000031465e-05	0.0946466766089992	0.0283825999999995	-0.0480669000000016	0.0023104268756094	0.000805571982759	0.017647899999997	0.0099091800000006	9.819184827241612e-05	0.00031144837441	0.0038732999999995	-1.8320000000968844e-05	3.3562224060058216e-10	1.5002452887985446e-05	0.0018325299999976	0.0002773599999996	7.69285695440169e-08	3.358166199360368e-06	-0.0029086100000009	8.179154723184453e-16	-4.454105451047758e-16	8.460012129935726e-06	0.0098479919000009	-0.094437483300002	-0.0291332883000015	0.0884881073000014	1
