trial_type.famous_delayed	trial_type.famous_immediate	trial_type.famous_initial	trial_type.scrambled_delayed	trial_type.scrambled_immediate	trial_type.scrambled_initial	trial_type.unfamiliar_delayed	trial_type.unfamiliar_immediate	trial_type.unfamiliar_initial	rt_reg.rt	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	intercept
-3.0957498485605143e-16	-0.0158093726267363	-0.0105285280478333	-6.0424790019253175e-12	2.7129270197223436e-10	0.2906926007361324	-2.1812026328351374e-16	0.0410898745886731	-0.0113558013523529	0.308743542174316	0.0335451000000016	0.0020833000000001	4.340138889844313e-06	0.0011252737340129	0.0743294999999988	0.021462200000001	0.0004606260288386	0.0055248745702496	0.1981080000000013	2.199999999919179e-05	4.839987654729906e-10	0.0392467796639998	-0.0014497099999998	-0.0001350499999988	1.823850292923076e-08	2.1016590844163844e-06	0.0001227099999998	-0.0001246689999991	1.5542359707116346e-08	1.5057743377342377e-08	9.880039999885136e-05	1.5648966474113427e-16	2.000201864770244e-16	9.761518682141341e-09	0.0968275308000021	0.0931668048000013	0.087167766900001	0.078980981600001	0.0688119219000013	1
-2.3531886601676268e-15	-0.0124093020412439	-0.0067586856175085	1.5972804435992445e-11	-5.246822314248751e-10	0.2587277518681211	-5.459298185039616e-16	0.002504011789786	0.0560846519001436	0.3438106697319431	0.027808700000001	-0.0057364000000011	3.290628496041654e-05	0.0007733237956891	0.1074860000000005	0.0331565000000005	0.0010993534922491	0.0115532401960001	0.2331650000000014	0.0350570000000005	0.0012289932489995	0.0543659172250005	-0.0019309	-0.0004811899999982	2.315438168556556e-07	3.7283748084700095e-06	-1.6954731435975936e-16	-0.0001227099999997	1.505774404768313e-08	-1.314066965336051e-15	9.880039999932162e-05	-3.9858473135324426e-17	-1.8881392648663684e-16	9.761519714776638e-09	0.0965825991000024	0.0922005960000016	0.0850439292000009	0.0753279700000011	0.0633451081000011	1
1.3307488665981925e-15	-0.0079569158525399	-0.0018791001716386	-4.1367998555554387e-11	8.541151379815051e-10	0.1361932472588828	-3.098117913798795e-16	-0.0030057361958833	0.1826678960003928	0.3111694196352109	0.0311871000000007	0.0033784000000005	1.1413586559827851e-05	0.0009726352064119	0.0501504999999988	-0.0573355000000008	0.0032873595602504	0.0025150726502495	0.2326910000000016	-0.0004740000000004	2.246759994794188e-07	0.0541451014810006	-0.0022689600000006	-0.0003380600000014	1.142845627688867e-07	5.148179478551451e-06	-9.364513680314357e-16	5.701420907376057e-16	-2.596912761572289e-16	-9.9171443819247e-16	9.880039999934164e-05	-2.2404646413419144e-16	-1.5631389762871117e-15	9.761519725867968e-09	0.0963156348000027	0.0911502604000015	0.0827455156000008	0.0714000949000012	0.057517200800001	1
-5.965084027161696e-15	-0.0043785796758061	-0.0041674159280495	1.0505735521978255e-10	-8.085240701308974e-10	0.0409617997098656	-4.781680753796437e-16	0.1009585312041231	0.1655229383370636	0.2558991112258886	0.0315634000000012	0.0003763000000003	1.416016896281511e-07	0.0009962482195622	0.1128570000000011	0.0627065000000011	0.0039321051422509	0.0127367024490008	0.2004740000000004	-0.0322170000000016	0.001037935089	0.0401898246759996	-0.0020666100000012	0.0002023500000016	4.0945522154993074e-08	4.270876889693121e-06	-6.944440000070078e-05	-6.944439999919807e-05	4.8225248485397254e-09	4.822523352039475e-09	9.88004000001857e-05	-7.709292050452729e-17	-8.869759903338114e-16	9.7615196711201e-09	0.0960266989000021	0.0900167565000015	0.0802772440000009	0.067211688500001	0.0513614214000006	1
9.685263196941396e-15	-0.0021314762558111	0.0515041058204156	-2.6119255315341804e-10	-1.7317883985641495e-09	-0.0091157643478859	-5.763858447457366e-16	0.1675129620737518	0.0834030342413126	0.2233590909612613	0.0206884999999998	-0.0108749000000018	0.0001182634500123	0.0004280140322474	0.0704754000000004	-0.0423816000000011	0.0017962000185603	0.004966782005159	0.2306030000000007	0.0301290000000009	0.0009077566409997	0.053177743609	-0.0023118300000013	-0.0002452200000001	6.013284818299557e-08	5.3445579457318905e-06	-0.0001393340000007	-6.98896000008586e-05	4.8845561318016125e-09	1.941396217254827e-08	9.880040000067047e-05	7.165518807609399e-16	-7.607774120474625e-16	9.761520317719909e-09	0.0957158574000024	0.0888011186000013	0.0776441814000009	0.0627780340000009	0.0449128604000009	1
-1.8571511483615992e-14	-0.0009362819050215	0.1645739424249135	6.338784382964238e-10	1.4719190912795277e-08	-0.0277271584766962	-1.5516156486143282e-16	0.1127846595073153	0.0245242367026013	0.2071127266241604	0.0183646999999992	-0.0023237999999995	5.400046439974947e-06	0.0003372622060884	0.0412833999999986	-0.0291919999999998	0.0008521728639991	0.0017043191155598	0.1582690000000002	-0.0723340000000028	0.005232207556002	0.025049076360999	-0.0010455600000003	0.0012662700000004	1.603439714248874e-06	1.0931957146327108e-06	-0.0004253990000023	-0.0002860650000001	8.183318405414018e-08	1.8096430626690826e-07	-0.0001293239999999	-0.0002281244000012	5.2040743167612623e-08	1.6724695867341046e-08	0.0953831810000016	0.0875044557000013	0.0748517327000009	0.0581153092000008	0.038208277400001	1
2.3174707827721492e-14	-0.0003766148116458	0.157195727124765	-1.4946975412951496e-09	-6.49972133161162e-08	-0.0289711880644993	-7.654759338271745e-17	0.0470750326629495	-0.0059263453030885	0.1246261520297457	0.0148345999999992	-0.0035301000000001	1.246160600989257e-05	0.0002200653571574	0.1065170000000002	0.0652336000000017	0.0042554225689608	0.0113458712889992	0.1846360000000007	0.026367000000001	0.0006952186889992	0.0340904524959989	-0.0019849200000007	-0.0009393600000003	8.823972103530743e-07	3.939907404887141e-06	-0.0002905790000015	0.0001348200000017	1.8176431273199855e-08	8.443615437889412e-08	-0.0002242340000022	-9.491000000029418e-05	9.007908134052128e-09	5.0280884068653187e-08	0.0950287458000018	0.0861279511000013	0.0719056303000011	0.0532405280000009	0.0312858913000006	1
5.116180580730844e-15	-0.0001415085798878	0.0832697274808781	3.3984661185459933e-09	2.376025375754223e-07	-0.0223758084831343	2.5490486407032397e-17	0.0072807720369118	-0.0176347221049774	0.0322887871096986	0.0105561999999985	-0.0042784000000005	1.83047065606192e-05	0.0001114333584367	0.0378837999999991	-0.0686332000000012	0.004710516142241	0.001435182302439	0.1766300000000009	-0.0080060000000001	6.409603599917619e-05	0.0311981568999985	-0.0015337100000014	0.0004512099999999	2.03590464241428e-07	2.352266363806957e-06	0.0004151990000014	0.0007057780000025	4.981225894211721e-07	1.7239021269329236e-07	2.784099998857513e-06	0.0002270181000026	5.1537218213871726e-08	7.749239501897702e-12	0.0946526326000025	0.0846728606000012	0.0688119219000011	0.0481714778000009	0.0241851625000007	1
-1.9155169804288365e-13	-1.7431765096868713e-05	0.0277276538913534	-7.352326795682216e-09	-7.903657909226786e-07	-0.0143192006140057	1.12648526772698e-16	-0.0110859332796734	-0.0186280687633349	-0.0178256736404589	-0.0019531000000018	-0.0125093000000012	0.0001564825864922	3.814599607815953e-06	0.0380120000000005	0.0001281999999997	1.6435238434046606e-08	0.0014449121439988	0.0465978999999974	-0.130032100000005	0.0169083470304183	0.0021713642844107	9.992009999888408e-05	0.0016336300999993	2.668747305303325e-06	9.984026257252868e-09	0.0005778180000044	0.0001626190000011	2.644493698490781e-08	3.338736434535102e-07	-1.267089998726398e-06	-4.051189999458229e-06	1.6411817287131157e-11	1.6035523707386998e-12	0.0942549271000014	0.0831405120000011	0.0655769581000012	0.0429266552000008	0.0169465682000004	1
9.658357747484196e-13	2.7468966296482977e-06	-0.0018615721275353	1.4751072979653621e-08	2.4794721831789253e-06	-0.0079064338506796	8.602488543453583e-17	-0.0166225363860714	-0.0143966052701577	-0.0348692580691767	0.0030816899999987	0.0050347900000012	2.5349110343647425e-05	9.496813254647636e-06	-0.0502332000000047	-0.0882452000000008	0.0077872153230398	0.0025233743822452	0.0479649999999989	0.0013671000000006	1.8689624091317557e-06	0.0023006412249987	9.992009999956168e-05	-8.207268080943056e-16	-6.052482028134114e-16	9.98402569420242e-09	0.0002666810000024	-0.0003111370000019	9.68062323805415e-08	7.111875696400824e-08	8.127259999949483e-05	8.253969000046208e-05	6.81279856571895e-09	6.605234149559771e-09	0.0938357201000006	0.0815323034000012	0.062207379500001	0.0375251979000006	0.0096113714000005	1
-3.723198267018773e-12	-1.027894114942684e-06	-0.0138455786567363	-2.5853199161073096e-08	-7.463513298471721e-06	-0.0039184633250788	1.7872374895867487e-16	-0.0149969909569181	-0.0091269995717749	-0.0343554838716375	0.0001401979999996	-0.0029414919999999	8.652375185261222e-06	1.965547774247419e-08	0.028475799999999	0.0787090000000023	0.0061951066810006	0.0008108711856369	-0.010329400000004	-0.058294400000002	0.0033982370713606	0.0001066965043632	9.992010000085138e-05	-4.442461160831906e-16	-9.457852872078968e-16	9.98402510344187e-09	-0.0004979940000009	-0.0007646750000024	5.847278601750443e-07	2.479980220828155e-07	-6.777980000032364e-05	-0.0001490524000009	2.22166164965027e-08	4.594100652935947e-09	0.0933951072000004	0.079849702200001	0.0587101033000011	0.0319868151000005	0.0022213857000002	1
1.2754281660395359e-11	4.34759689561508e-07	-0.0157241157575021	3.224107964342484e-08	2.1765474428845377e-05	-0.0016616928338719	1.9341520928262032e-16	-0.0105634337955688	-0.0050068459041413	-0.02656493870776	-0.0142125000000007	-0.0143526980000023	0.0002059999398805	0.0002019951562514	-0.0619950000000022	-0.0904708000000019	0.00818496565264	0.0038433800250049	-0.0565500000000059	-0.046220600000001	0.0021363438643604	0.0031979025000057	0.0012135200000016	0.0011135999000003	1.2401047379624098e-06	1.4726307908721832e-06	-0.000884065000004	-0.0003860709999998	1.4905081595884298e-07	7.815709225879467e-07	-0.0003474250000014	-0.0002796452000011	7.820143695393236e-08	1.2070412792841458e-07	0.0929331889999999	0.0780942437000007	0.0550923084000011	0.0263317160000003	-0.0051812627999997	1
-4.076412705806333e-11	-1.8063243034618459e-07	-0.0125319393652201	1.1842340190073512e-08	-6.18591186591832e-05	-0.0008296875059469	1.1885378414691688e-16	-0.006264909727412	-0.0024307748247819	-0.0177224007406754	7.879059999961684e-05	0.0142912906000028	0.0002042409870146	6.207958998105466e-09	0.0372862999999998	0.0992813000000024	0.0098567765296921	0.001390268167686	-0.0256480000000052	0.0309020000000018	0.000954933603999	0.0006578199040033	0.0004465800000012	-0.0007669400000009	5.881969633786465e-07	1.994336976813764e-07	-0.000276830000002	0.0006072350000034	3.687343457712684e-07	7.66348498071851e-08	5.238919999897164e-05	0.0003998142000026	1.5985139731263388e-07	2.744628566594278e-09	0.0924500707999997	0.0762675296000009	0.0513614214000009	0.0205805353000004	-0.0125543759000002	1
1.2408864933436328e-10	7.249043140551048e-08	-0.0081218854324045	-2.854217344588743e-07	0.0001718502103557	-6.566799305397355e-06	-1.2429398085846695e-16	-0.0032587099656894	-0.0010655248924951	-0.0098331251798928	1.618569999888911e-05	-6.260489999981068e-05	3.919372229862725e-09	2.6197617909309634e-10	0.0256042000000007	-0.0116821000000009	0.0001364714604078	0.0006555750576386	0.0347810999999965	0.0604291000000032	0.0036516761268105	0.0012097249172093	5.102959999968597e-05	-0.0003955504000003	1.5646011899500472e-07	2.604019898700608e-09	0.0002682300000006	0.0005450600000011	2.9709040546153185e-07	7.194733444324993e-08	0.0002549420000017	0.0002025528000008	4.102763760260279e-08	6.499542610699579e-08	0.0919458627999996	0.0743712266000012	0.047525101000001	0.0147542584000003	-0.0198559238000004	1
