trial_type.fb_a_neg	trial_type.fb_a_pos	trial_type.fb_v_neg	trial_type.fb_v_pos	trial_type.feel	trial_type.finish	trial_type.rest	reg_error	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	intercept
1.7151629579290411e-16	2.7854268340232567e-16	-2.2040771166411232e-16	1.0312221658158798e-05	2.9455843556175017e-06	8.037248766202654e-17	0.9999974669198588	-6.612620521607323e-09	-0.0191469743029709	-0.0360219551786871	0.0012975812549033	0.0003666066249563	0.0434920210440848	0.0634574036435836	0.0040268420771847	0.0018915558944963	0.0127921719517652	0.0113180783540513	0.0001280988976278	0.0001636396632425	-9.998774981750945e-07	0.0008500001518971	7.225002585721437e-07	9.991813786069834e-13	5.000027973674016e-06	-2.0817253926382377e-08	-8.027664007593672e-16	2.4998344974715097e-11	-4.900002298380124e-05	-2.151002998967981e-09	-7.499786980140429e-16	2.4010053548638372e-09	0.0792016280000012	0.0758719645000022	0.0704258248000018	0.0630151307000015	0.0538466064000014	0.0431760113000009	0.0313010054000004	0.0185528465000004	1
-3.59175275424184e-16	1.0459700628266547e-16	-9.1178105949845e-17	-2.119500071013657e-05	-7.163575882588432e-06	-1.0148052030856085e-16	1.0000279098126077	1.7526024922946335e-08	-0.0031773649300966	0.0159696093728768	0.0002550284235235	1.0095647897523655e-05	-0.0224150260117199	-0.0659070470558034	0.0043437388516154	0.0005024333911039	0.0106473844880026	-0.0021447874637627	4.600113264214627e-06	0.0001133667964341	-0.0001700038953469	-0.0001690040178494	2.8562357774720023e-08	2.8901324022261365e-08	-0.000158995734225	-0.0001639957621965	2.6894610243111908e-08	2.5279644051524512e-08	-4.901348630681583e-05	-1.346332119724718e-08	5.3772159731686505e-17	2.4023242451442717e-09	0.0790620853	0.0753220638000004	0.0692191928000015	0.0609449190000011	0.0507588060000013	0.0389803917000006	0.0259791643000004	0.0121629717999999	1
1.7394041215194077e-18	-2.350124264536349e-17	-3.7855508551213955e-18	3.8758406875786187e-05	1.6916678101266357e-05	-2.272234541068099e-17	0.9999444833181867	-4.550901768860924e-08	0.0073965108298082	0.0105738757599045	0.0001118068485856	5.470837245652513e-05	0.0249132269676228	0.047328252979342	0.0022399635300756	0.0006206688779373	-0.0175558409646986	-0.0282032254527005	0.0007954219259354	0.0003082075519776	-7.200061494576509e-05	9.80032804012644e-05	9.604642405396122e-09	5.184087494470237e-09	-2.4998276202501825e-05	0.0001339974580217	1.795531868458324e-08	6.249133709202568e-10	-4.900088731214096e-05	1.2598994088856596e-08	-3.3717650643953332e-16	2.401090309437273e-09	0.0789144229000004	0.0747412215000015	0.0679485856000012	0.0587745750000009	0.0475407084000009	0.0346406962000004	0.0205266412000001	0.0056931948999999	1
-3.296332697066694e-16	3.5015046204734605e-17	2.895926986851804e-17	-4.8050159843546e-05	-3.853683887139965e-05	-3.252553029487093e-17	1.0000864626950057	1.1573716426963085e-07	0.0095038579140143	0.0021073470842057	4.440911732236628e-06	9.032331525168243e-05	0.0017436784080427	-0.02316954855958	0.0005368279804536	3.0404143887642345e-06	0.0106289602568939	0.0281848012215925	0.0007943830199005	0.0001129747961416	0.0003289978945054	0.0004009985094505	1.6079980439960385e-07	1.0823961280640095e-07	-8.500805861298129e-05	-6.0009782409975575e-05	3.6011740302820213e-09	7.226369936928262e-09	-4.8986025493497126e-05	1.4861819025229476e-08	-6.014851850513156e-17	2.399633690575339e-09	0.0787586559000006	0.0741296760000004	0.0666151775000014	0.0565076644000008	0.0442005745000008	0.0301729648000003	0.0149708639	-0.0008139822000004	1
-2.7688119381368263e-16	2.7480914021269464e-17	-1.685823808620083e-17	-5.775269346689876e-06	8.339591434846627e-05	-7.631654321216145e-17	0.9999224552157072	-2.878063082955485e-07	0.0168725023372248	0.0073686444232103	5.429692063515288e-05	0.0002846813351238	0.0017070248127403	-3.6653595301960046e-05	1.3434847966169716e-09	2.9139337092359173e-06	0.0107273122663533	9.835200945928916e-05	9.673117374919064e-09	0.0001150752284588	-0.0001700014925219	-0.0004989993870284	2.490003883043867e-07	2.8900506343581425e-08	-6.099584823799282e-05	2.4012210375217304e-05	5.765860671928938e-10	3.720492736945473e-09	-4.900521451939503e-05	-1.918902641259909e-08	1.3514574769162015e-16	2.4015133786654463e-09	0.0785948003999999	0.0734876787000005	0.0652202009000013	0.0541479120000008	0.0407469784000006	0.0255937107999999	0.0093397791999998	-0.0073158120000008	1
-1.948421131871018e-16	6.076997683239052e-17	-1.780172327316141e-16	-6.899517755592233e-05	-0.0001593342438464	-1.1676848148007126e-16	1.000228290969523	6.977815489346651e-07	-0.0028812535625191	-0.019753755899745	0.000390210872148	8.301622091524612e-06	0.0609656793170754	0.0592586545043345	0.0035115881336636	0.0037168140545893	0.010409590806175	-0.0003177214601778	1.0094692575103734e-07	0.0001083595807513	0.0008130087536632	0.0009830102461862	9.663091443498997e-07	6.60983230911005e-07	-0.0001109333706369	-4.9937522399780206e-05	2.4937552222804353e-09	1.2306212648377578e-08	0.0001640453789759	0.0002130505934952	4.5390555387128176e-08	2.6910887142573504e-08	0.0784228732000016	0.0728154934000021	0.0637649451000016	0.0516991946000009	0.0371887854000007	0.0209198596000001	0.0036617129999996	-0.0137695821000005	1
-5.106005638563967e-16	-4.40775991654374e-17	-1.7531925306528766e-16	0.0203273534859623	0.000258152813113	-2.9287470068703667e-16	0.9794145115747352	-1.6415273761629027e-06	-0.0125696079777954	-0.0096883544152753	9.386421127566022e-05	0.0001579950447144	0.079870706769907	0.0189050274528315	0.0003574000629914	0.0063793297999212	0.0409153147985101	0.0305057239923351	0.0009305991962963	0.0016740629850597	0.0014339871432171	0.0006209783895542	3.8561416013431293e-07	2.0563191236731546e-06	8.17336702671797e-05	0.0001926670409051	3.712058793247164e-08	6.68039288422644e-09	0.0003259418865235	0.0001618965075485	2.6210478460018642e-08	1.0623811198732085e-07	0.0782428919000031	0.0721133960000028	0.0622507551000019	0.0491655357000011	0.0335351293000007	0.0161686862000001	-0.0020347726000004	-0.0201328959000008	1
-9.816321948498573e-18	-2.1961880308400072e-17	3.132056874399857e-16	0.2587218337177447	-0.0006578930033882	-3.1898433111118683e-16	0.7419360513576032	3.718090188466536e-06	-0.0240855509727574	-0.0115159429949627	0.0001326169430625	0.0005801137656588	0.0632971632978439	-0.0165735434720632	0.0002746823432199	0.0040065308815506	-0.0182760964547011	-0.0591914112532109	0.0035036231661465	0.000334015701622	0.0001174366729156	-0.0013165504703002	1.7333051402817452e-06	1.3791370082948264e-08	0.0004055182295924	0.0003237845593254	1.0483644142645467e-07	1.64445033852513e-07	0.0003119760847578	-1.3965801765584557e-05	1.9504244830485695e-10	9.73290778127843e-08	0.0780548750000027	0.0713816750000017	0.0606790304000011	0.0465510978000014	0.0297953889000001	0.0113577516000004	-0.0077210227000002	-0.0263639508000004	1
7.096072084312723e-17	3.118059464568363e-16	8.350612813065883e-16	0.6423456130714604	0.0262552470981278	-7.382026921955781e-16	0.3313991431659189	-8.002555571673468e-06	-0.0261739998748293	-0.0020884489020718	4.361618815391451e-06	0.0006850782694468	0.088314560932841	0.0250173976349973	0.0006258701844271	0.0077994616727565	0.049399569585581	0.0676756660402819	0.0045799957739965	0.0024403174752394	0.0010419240970352	0.0009244874241195	8.546769972439213e-07	1.0856058230814976e-06	0.0002563072406165	-0.0001492109889768	2.226391879953128e-08	6.569340201521236e-08	0.0005898663113916	0.0002778902266359	7.72229785973497e-08	3.479422604979774e-07	0.0778588418000035	0.0706206311000022	0.0590512236000013	0.0438601767000025	0.0259791642999997	0.0065048375000014	-0.0133684341000001	-0.0324218133000004	1
1.8854395112998668e-16	5.010839204980168e-16	1.286039539226679e-15	0.6930385896340102	0.279228434524253	-5.594234578572299e-16	0.0277329744279942	1.586081375612031e-05	-0.0186564233144401	0.0075175765603891	5.6513957340683086e-05	0.0003480621308862	0.0124428306659693	-0.0758717302668701	0.0057565194536895	0.0001548240349793	0.0267859409903858	-0.0226136285951957	0.0005113761982408	0.0007174866347394	-0.0002820438765399	-0.0013239679735762	1.7528911953877729e-06	7.954874856655546e-08	0.000404969077845	0.0001486618372298	2.210034191167256e-08	1.6399995237491777e-07	0.0002190569984693	-0.0003708093129228	1.3749955010906046e-07	4.7985970128620736e-08	0.0776548125000007	0.0698305767999998	0.057368839200001	0.0410971933000021	0.0220962514999994	0.0016278808000013	-0.0189485988000002	-0.0382666875000006	1
