trial_type.a_pha	trial_type.b_psa	trial_type.c_ia	trial_type.d_pa	trial_type.e_na	trial_type.f_phi	trial_type.g_psi	trial_type.h_ii	trial_type.i_pi	trial_type.j_ni	rt_reg.rt	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
-2.345940153438815e-15	1.3406225523701152e-15	-7.924911615149808e-06	1.8724049064758824e-15	-2.533838462026974e-15	1.028835995114453	2.4260779648654568e-15	-2.3363505720506038e-15	-1.306490610364243e-15	6.178347988365802e-13	-0.0079802288443771	0.0153919000000001	-0.0091654000000008	8.400455716026525e-05	0.0002369105856103	-0.0151007000000014	0.0339515000000013	0.0011527043522504	0.0002280311404893	-0.0466501000000042	0.0778559000000019	0.0060615411648097	0.0021762318300084	-0.0027184500000017	-0.0013335300000009	1.7783022619513544e-06	7.389970401788192e-06	9.5064399999434e-05	-0.0005019636000023	2.5196745628219626e-07	9.037235500438402e-09	-1.291898046158495e-16	4.6725775527733573e-17	-6.680062213781933e-16	2.1054099926898408e-16	0.1044560204000014	0.0890447182999999	0.0650209461000006	0.0347083006000009	1
-2.510889173048675e-15	1.4198336691757237e-15	1.9351555793651423e-05	1.733229450844683e-15	-2.5545552763159118e-15	1.0148940235011767	2.519182817271882e-15	-2.2423054971508328e-15	-1.268628934954478e-15	-1.0742317053539575e-12	-0.004538124604479	0.0184045000000005	0.0030125999999999	9.075758760151044e-06	0.0003387256202493	-0.0318135000000011	-0.0167128000000001	0.00027931768384	0.0010120987822497	-0.1244600000000052	-0.0778099000000009	0.0060543805380108	0.0154902916000008	-0.0001052079999991	0.0026132420000026	6.829033752487743e-06	1.1068723523394838e-08	0.0002750959999988	0.000180031600001	3.2411376596976406e-08	7.567780624147102e-08	-6.912304205652148e-16	-4.7394090017543146e-17	1.2205043292297882e-15	-3.2077530701553297e-16	0.1037991666000013	0.0865522276999998	0.0598979987000006	0.026733505700001	1
-2.442167242558179e-15	1.421138711386228e-15	-4.600143198211141e-05	1.7676621099186706e-15	-2.199619271093501e-15	0.9766081290038302	2.234081248449775e-15	-2.2578588596800867e-15	-1.4722570912917944e-15	1.274499295530396e-12	-0.0023776114538349	0.0138778999999998	-0.0045266000000002	2.049010756067054e-05	0.0001925961084094	0.0360545000000011	0.067868000000001	0.0046060654240001	0.0012999269702517	-0.159118000000006	-0.0346579999999999	0.0012011769640002	0.0253185379240018	0.0004483080000024	0.0005535159999992	3.063799611634577e-07	2.0098006465477678e-07	0.0007065909999999	0.0004314950000019	1.861879369817583e-07	4.992708435987018e-07	-5.762699895057272e-16	3.659738944944186e-16	-7.621005868178632e-17	-3.354750963506749e-16	0.1031051368000011	0.0839357518999996	0.0545820226000006	0.0186055837000007	1
-2.325672917073767e-15	1.4125124175877516e-15	0.0001056535953472	1.8481367749441225e-15	-2.5749551337976214e-15	0.7105783667798952	2.6168370345992885e-15	-2.336239714365737e-15	-1.5163610670584937e-15	7.829924272713511e-13	-0.0008450426500773	0.0183031999999997	0.0044253	1.9583280090249163e-05	0.0003350071302398	-0.0017392799999986	-0.0377937800000013	0.0014283698066883	3.025094918574885e-06	-0.1429950000000065	0.0161230000000008	0.0002599511289996	0.020447570025001	-0.0001475789999987	-0.0005958870000012	3.55081317609332e-07	2.1779560076109552e-08	0.0005417390000012	-0.0001648520000008	2.717618175481583e-08	2.934811457807241e-07	-7.357456255656858e-16	-1.9200236218058848e-16	-4.65262849728131e-16	3.350731125868964e-18	0.1023741793000015	0.081199039	0.0490901493000007	0.0103710906000004	1
-1.9168234775202438e-15	1.2612787115531828e-15	-0.0002229519728023	1.9622724772439738e-15	-2.3454252703661628e-15	0.297385580461559	2.5865056056097464e-15	-2.3798852925786658e-15	-2.0057764578226917e-15	-1.306629151716799e-11	-0.0008829745461531	0.0029978899999989	-0.0153053100000003	0.000234252514196	8.987344452450558e-06	-0.0146698	-0.0129305200000002	0.0001671983474701	0.0002152030320398	-0.1009400000000063	0.0420550000000013	0.0017686230249993	0.0101888836	0.0010160800000017	0.0011636590000009	1.3541022676239672e-06	1.0324185705227289e-06	0.0004856620000021	-5.607700000086152e-05	3.144629905064418e-09	2.3586758200517497e-07	-3.8435273092987273e-16	-4.410001976456729e-16	1.1160551267837213e-15	3.0704740843574555e-17	0.1016065561000023	0.0783460092000009	0.0434400770000009	0.0020771928000002	1
-1.6555800829256888e-15	1.3350271343616704e-15	0.0004280317004177	1.7840453165178188e-15	-2.162052539675781e-15	0.0086001086259765	2.8154018436700014e-15	-2.3390872970022718e-15	-2.305406455246277e-15	6.304113486399688e-11	0.0008502966176581	0.0363361000000006	0.0333382100000011	0.0011114362460048	0.0013203121632107	-0.0409943000000012	-0.0263245000000001	0.0006929793002499	0.0016805326324899	-0.0986751000000066	0.0022649000000006	5.129772009498528e-06	0.0097367753600102	1.2166800000963646e-05	-0.0010039132000012	1.0078417142548005e-06	1.4802908988210152e-10	0.000132975000002	-0.0003526870000008	1.2438812063354205e-07	1.7682350867044747e-08	-0.0002001550000011	-0.0002001550000013	4.0062023416352715e-08	4.00620250877932e-08	0.1008025420000026	0.0753807495000015	0.037650013800001	-0.0062286029000001	1
-1.6503605963493994e-15	1.383636813086354e-15	-0.0010678661030837	1.7898696307433465e-15	-1.8849302223777968e-15	-0.1183390150806956	2.939651191911485e-15	-2.3489824252371704e-15	-2.698605945446529e-15	-2.3930726800523127e-10	-0.002460859829025	0.0363645000000018	2.8399999999233428e-05	8.065600899499782e-10	0.0013223768602505	-0.0055412400000005	0.0354530600000007	0.0012569194633637	3.0705340737288555e-05	-0.1195600000000072	-0.0208848999999998	0.0004361790480095	0.0142945936000008	0.0005971070000016	0.0005849402000006	3.421550360908489e-07	3.565367690774408e-07	0.0001372160000023	4.241000000207175e-06	1.7986590387387945e-11	1.882823060383172e-08	-1.2129602643852794e-15	0.0002001550000002	4.006202446498976e-08	-2.002678348334189e-16	0.0999624250000028	0.0723075076000017	0.031738618800001	-0.0144987218000002	1
-1.6142042822498622e-15	1.3058527794681253e-15	0.0329818465578932	1.2540556912706732e-15	-1.9333462553176084e-15	-0.1445205733961902	2.815442539703347e-15	-2.338179942062455e-15	-2.6792324843593667e-15	8.141309139545975e-10	0.0377207087288948	0.024746100000001	-0.0116184000000008	0.0001349872185604	0.0006123694652095	-0.0360217000000009	-0.0304804600000003	0.0009290584418117	0.0012975628708896	-0.1669050000000081	-0.0473450000000003	0.0022415490249998	0.0278572790250025	0.0007071520000019	0.0001100449999991	1.210990072975376e-08	5.000639512230116e-07	3.824270000182893e-05	-9.897329999949928e-05	9.79571451404438e-09	1.4625021305080126e-09	0.000306492999999	0.0003064930000009	9.393795923281243e-08	9.393795821890466e-08	0.0990865060000025	0.0691306859000017	0.025724942100001	-0.0226857933000004	1
-1.229538730033029e-15	1.0998928975246656e-15	0.3030765076863136	3.593090475736996e-15	-2.810502566567578e-15	-0.123080709680314	3.0260813786636146e-15	-2.6718955608628256e-15	-2.9238075052768453e-15	-2.595708758127678e-09	0.2359751972814291	0.0142970999999996	-0.0104490000000011	0.0001091816009987	0.0002044070684097	-0.0203083000000009	0.0157134000000012	0.0002469109395597	0.0004124270488898	0.1881379999999953	0.3550430000000056	0.1260555318490064	0.0353959070439971	-0.0015575800000014	-0.0022647320000021	5.129011034377008e-06	2.4260554553491925e-06	-0.0008842149999997	-0.0009224577000024	8.509282074020003e-07	7.818361668052659e-07	0.0008465750000005	0.0005400820000003	2.916885648036409e-07	7.166892315924318e-07	0.0981750987000029	0.0658548351000011	0.0196283638000006	-0.0307429225999996	1
-1.1912358917994461e-15	1.1309393782409606e-15	0.7141681649759859	1.11193666736219e-15	-3.335409140957108e-15	-0.0863820153103833	3.371616501454672e-15	-2.9419869092420842e-15	-3.0404220778791146e-15	7.917058432009763e-09	0.3132349843343437	0.0184518	0.0041546999999999	1.7261532089582406e-05	0.00034046892324	0.0209802000000012	0.0412885000000006	0.0017047402322494	0.0004401687920409	0.2687069999999963	0.0805690000000011	0.0064913637609994	0.0722034518489988	-0.0018324199999997	-0.0002748399999992	7.553702621232625e-08	3.3577630571471093e-06	-0.0006342149999996	0.0002500000000014	6.249999903109374e-08	4.022286662245963e-07	0.0011394200000008	0.0002928450000005	8.575819412505804e-08	1.2982779387514033e-06	0.0972285296000025	0.0624846480000008	0.0134685306000004	-0.038623959199998	1
-9.587185536193976e-16	1.0324563193597842e-15	0.997263288538171	8.485249748969527e-15	-3.806867031412465e-15	-0.0523032511504539	3.4362142745454385e-15	-2.9832990518227897e-15	-3.172297314650704e-15	-2.3357087658891144e-08	0.1982810056434569	0.0164634000000006	-0.0019884000000005	3.953734559863211e-06	0.0002710435395596	-0.0614495000000012	-0.0824297000000013	0.0067946554420911	0.0037760410502498	0.2975159999999967	0.0288090000000003	0.0008299584809995	0.0885157702560002	-0.001598549999998	0.0002338700000006	5.4695177457612615e-08	2.555362103455748e-06	-0.0008842150000008	-0.0002500000000004	6.250000022791909e-08	7.818361661319782e-07	0.0012213500000009	8.192999999967616e-05	6.712525149254157e-09	1.4916958254406467e-06	0.0962471375000022	0.0590249522000005	0.0072652934000003	-0.0462837612999976	1
-9.833635482053495e-16	8.250470996883033e-16	1.1202167784685562	-1.0388806480528651e-14	-3.424305965860772e-15	-0.027943822953824	3.4643506581508787e-15	-3.0272924684454564e-15	-3.2660565318627865e-15	6.688834505793858e-08	0.0807890102833617	0.0182716000000006	0.0018081999999996	3.26958723994309e-06	0.0003338513665593	-0.008981790000001	0.0524677100000013	0.0027528605926447	8.067255160293309e-05	0.2621929999999968	-0.0353230000000003	0.0012477143289999	0.068745169249	-0.0015669699999978	3.1579999999666234e-05	9.972957386516422e-10	2.455394980281636e-06	-0.0004835220000002	0.0004006930000019	1.6055488142470369e-07	2.337935240483832e-07	0.0008381010000004	-0.0003832490000011	1.4687979742331425e-07	7.024132864798542e-07	0.0952312742000018	0.0554807037000003	0.0010386429000003	-0.0536784541999977	1
-1.018719498237742e-15	1.1711733501960904e-15	1.1443507398687534	3.8208550669969777e-14	-3.8810058969226215e-15	-0.0133651881301789	3.2695875954590078e-15	-2.9729844555323624e-15	-3.166786250904925e-15	-1.873069894094929e-07	0.0115924051006335	0.0079678799999998	-0.0103037200000003	0.0001061666458381	6.348711169395585e-05	-0.0013979499999993	0.0075838399999998	5.751462914538114e-05	1.954264202267204e-06	0.2701119999999969	0.0079190000000003	6.271056099973114e-05	0.0729604925440001	-0.0020757399999984	-0.0005087700000007	2.5884691330516373e-07	4.308696546556312e-06	-0.0006701780000004	-0.0001866560000008	3.4840462228372445e-08	4.4913855127441765e-07	0.0006699259999996	-0.0001681749999999	2.828283005633412e-08	4.488008444716625e-07	0.0941813033000018	0.0518569796	-0.0051913546999998	-0.0607656817999978	1
-1.1405957692078898e-15	1.0232112557379613e-15	1.122184335190051	-8.324567556190243e-14	-3.4672643059803086e-15	-0.0057735466301139	3.4718927806406103e-15	-2.889721162297744e-15	-3.106107138607591e-15	5.142168331566462e-07	-0.0197219165390833	0.0230779000000006	0.0151100200000004	0.0002283127044001	0.0005325894684092	0.0156202000000016	0.0170181499999994	0.0002896174294219	0.0002439906480408	0.2086959999999966	-0.0614160000000008	0.0037719250560004	0.0435540204159991	-0.0021148999999993	-3.916000000009977e-05	1.5335055802566907e-09	4.472802009521611e-06	-0.0008300400000006	-0.0001598620000002	2.5555859614552137e-08	6.889664014395996e-07	0.0006310749999995	-3.885099999984824e-05	1.5093990247857822e-09	3.982556543734445e-07	0.0930976009000015	0.0481589709	-0.0114046226	-0.0675048490999983	1
