trial_type.DOOR-CON	trial_type.DOOR-VG-go	trial_type.DOOR-VG-no-go	trial_type.DOOR-VM-go	trial_type.DOOR-VM-no-go	trial_type.Inst_CON	trial_type.Inst_VG	trial_type.Inst_VM	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
2.243234692792195e-13	2.3871979716248137e-19	1.8033237711921144e-43	3.8543694242798688e-22	-4.8070566133801756e-11	-7.169617480035256e-13	1.5613297471991274e-18	8.699541522794272e-10	-0.0292278009354163	0.019412159732326	0.0003768319454733	0.0008542643475203	0.1429556816017338	0.1803779601407312	0.0325362085045312	0.0204363269022162	0.0497917795485705	0.0721114199177605	0.0052000568825555	0.0024792213106134	-0.0005719069419131	-2.092689480019997e-05	4.379349259786365e-10	3.270775502083939e-07	0.0018421849314347	0.0001137136688718	1.2930798488285388e-08	3.3936453216050703e-06	-0.0006439733570102	0.0028520606047026	8.134249692896561e-06	4.147016845389865e-07	0.0735233542	0.0726317816	0.0711538271	0.0691014229	1
-5.356934923511904e-13	-6.188136369976744e-19	-3.1405156219194666e-43	-8.99894501118855e-22	1.2902487132985322e-10	2.142301284968354e-12	-3.882764445675952e-18	-2.1982442221774403e-09	-0.0122918604230477	0.0169359405123686	0.0002868260810384	0.0001510898326596	0.1410653314416379	-0.0018903501600958	3.573423727774572e-06	0.0198994277347391	0.0528458704950765	0.0030540909465059	9.327471509529878e-06	0.0027926860283823	-0.0007958854074485	-0.0002239784655354	5.016635302359239e-08	6.334335817894649e-07	0.0015468041012216	-0.000295380830213	8.724983485738015e-08	2.392602927555962e-06	0.0004981151302436	0.0011420884872538	1.3043661127176735e-06	2.481186829775986e-07	0.0734639389	0.072395175	0.0706254046	0.0681717641	1
1.2420159939604259e-12	1.5739113201809292e-18	3.952153054149802e-43	2.0277588343692734e-21	-3.397814904481554e-10	-6.19530591493768e-12	9.442713818809453e-18	5.441498271177361e-09	-0.0172433214779346	-0.0049514610548869	2.4516966578061707e-05	0.0002973321355914	-0.0129504583703692	-0.1540157898120071	0.0237208635114163	0.0001677143720026	0.0113797774182984	-0.041466093076778	0.001719436875052	0.00012949933409	-0.0012951447407181	-0.0004992593332695	2.492598818568054e-07	1.6773998994097545e-06	0.0013708944666088	-0.0001759096346127	3.0944199549608786e-08	1.8793516385786265e-06	0.0009388918265833	0.0004407766963397	1.942840960361401e-07	8.815178620249256e-07	0.0733991403	0.0721373494	0.0700504076	0.0671621865	1
-2.7732158380090947e-12	-3.9236728947484935e-18	9.68155107123723e-44	-4.355090915179699e-21	8.782008510670436e-10	1.7446184814210614e-11	-2.237956842916236e-17	-1.3164239315907462e-08	-0.0188747485479581	-0.0016314270700234	2.661554284805458e-06	0.0003562561327486	0.0260616984054564	0.0390121567758256	0.0015219483763015	0.0006792121237769	0.0421366400476159	0.0307568626293175	0.0009459845987987	0.0017754964345023	-0.0007816006024796	0.0005135441382385	2.637275819191236e-07	6.108995017964737e-07	0.001040050653094	-0.0003308438135148	1.0945762894101589e-07	1.0817053610012555e-06	0.0011529089375724	0.000214017110989	4.580332379612071e-08	1.32919901833432e-06	0.0733289633	0.0718583802	0.0694292154	0.0660738734	1
5.878879437609434e-12	9.568262517469236e-18	-3.196579550696295e-42	8.705151100469333e-21	-2.2267896456338332e-09	-4.802062537240191e-11	5.139945681580643e-17	3.100463600699591e-08	-0.0149267940972634	0.0039479544506946	1.558634434476008e-05	0.000222809182022	0.1133522530192863	0.0872905546138299	0.00761964092479	0.0128487332645483	0.0680237919189465	0.0258871518713306	0.0006701446320093	0.0046272362670321	-0.0003061798258322	0.0004754207766474	2.26024914868017e-07	9.374608574663633e-08	0.0004478768114337	-0.0005921738416602	3.50669858746718e-07	2.005936382200181e-07	0.0008020689426231	-0.0003508399949492	1.2308870205602485e-07	6.433145887205376e-07	0.073253413	0.0715583493	0.0687622376	0.0649081008	1
-1.1505062102588158e-11	-2.2749290354535644e-17	1.5881328338246914e-41	-1.5339979826944044e-20	5.532721664898619e-09	1.2949159222564169e-10	-1.1332405097653715e-16	-7.06453785569089e-08	-0.001159552760086	0.0137672413371774	0.000189536934036	1.344562603423061e-06	0.1659887517207039	0.0526364987014176	0.0027706009955443	0.0275522656977974	0.0661369516410701	-0.0018868402778764	3.5601662342167023e-06	0.0043740963723732	-0.0004101693271754	-0.0001039895013432	1.0813816389607392e-08	1.6823887695552037e-07	0.0006058851598766	0.0001580083484429	2.496663817765292e-08	3.670968269586932e-07	0.0005586244671755	-0.0002434444754476	5.9265212625957126e-08	3.1206129532711125e-07	0.0731724949	0.0712373446	0.0680499141	0.0636662353	1
1.9433276902408155e-11	5.2453734722456017e-17	-6.037983576173605e-41	1.9998140530853828e-20	-1.3440882722285032e-08	-3.425278975135741e-10	2.35808604017312e-16	1.5411785257365317e-07	-0.0009376779771486	0.0002218747829374	4.92284193035184e-08	8.792399888294905e-07	0.0349723203724323	-0.1310164313482716	0.0171653052832363	0.001223063192232	-0.0363509888125435	-0.1024879404536135	0.0105037779384234	0.0013213943876496	0.0003622752250077	0.0007724445521831	5.966705861973499e-07	1.3124333865437966e-07	0.0009550853013091	0.0003492001414324	1.2194073877647798e-07	9.121879327766944e-07	0.0004698268748018	-8.879759237369995e-05	7.885012411365776e-09	2.207372922860263e-07	0.073086215	0.0708954602	0.0672927147	0.0623497327	1
-2.2076381099810512e-11	-1.1625081151948215e-16	2.041304145916638e-40	1.1654233148699949e-21	3.1811951071469366e-08	8.89196449429608e-10	-4.471959343886752e-16	-3.159191813175489e-07	-0.0092496149918588	-0.0083119370147102	6.908829693650952e-05	8.555537749761906e-05	0.0567157306842744	0.0217434103118421	0.0004727758919891	0.0032166741070511	-0.0029545870295208	0.0333964017830227	0.001115319652053	8.729584515012545e-06	-4.519796753568815e-05	-0.0004074731925433	1.6603440264150108e-07	2.04285626935712e-09	0.0006699862239623	-0.0002850990773468	8.128148390399664e-08	4.488815402992612e-07	0.0005910151347952	0.0001211882599934	1.4686594360227918e-08	3.492988895569885e-07	0.0729945796	0.0705327962	0.0664911386	0.0609601365	1
-1.8346615381063258e-11	2.437440457668535e-16	-6.4448944984613366e-40	-1.4249142123593827e-19	-7.293045478751763e-08	-2.264850210184374e-09	7.054417637855923e-16	5.802345306257425e-07	-0.0070030783519143	0.0022465366399444	5.046926874613123e-06	4.904310640305071e-05	0.1012803433343805	0.0445646126501061	0.0019860047006539	0.0102577079459299	0.0465627947677802	0.0495173817973009	0.0024519711000596	0.0021680938565864	-0.0002971156185857	-0.00025191765105	6.346250291055557e-08	8.827769080756316e-08	0.0006424464993348	-2.7539724627499967e-05	7.58436432558528e-10	4.127375045075392e-07	0.0003600953340934	-0.0002309198007018	5.3323954356159044e-08	1.2966864963583737e-07	0.0728975954	0.070149459	0.0656457145	0.0594990757	1
2.4561625679622326e-10	-4.682480602097264e-16	1.9427273230359692e-39	7.295616765521706e-19	1.604214317422571e-07	5.654352856369444e-09	-5.994444386712227e-16	-7.48702374882426e-07	-0.0033255860031431	0.0036774923487712	1.3523949975270717e-05	1.10595222643013e-05	0.1729889214126814	0.0717085780783009	0.0051421201700117	0.0299251669315228	0.069792273685735	0.0232294789179548	0.0005396086907997	0.0048709614662245	-0.0002970416095219	7.400906379997603e-08	5.477341524548923e-15	8.823371778736093e-08	0.0005069753679263	-0.0001354711314085	1.8352427445099093e-08	2.570240236840073e-07	0.0001640755919712	-0.0001960197421222	3.842373930165381e-08	2.692079988069972e-08	0.0727952696	0.069745561	0.0647569999	0.0579682631	1
