trial_type.control_moving_bars	trial_type.fixation_cross	trial_type.instruction	trial_type.rating	trial_type.watch_moving_bars	trial_type.watch_static_bars	rating	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	intercept
2.634280310767901e-15	0.3276061366960228	0.5698813634100953	-1.2138487461206884e-15	-0.0042651421731723	0.1067776420769501	2.1472036092170808e-15	-0.4136870726004829	0.0049313629234859	2.431834028313033e-05	0.1711369940367576	0.3257465271734786	0.1205347672424059	0.0145286301141813	0.1061107999655827	-0.1094436520509993	-0.0031528816327998	9.94066258998667e-06	0.0119779129742592	0.0010040106971601	0.0010119540133548	1.02405092494796e-06	1.0080374793408956e-06	0.0039050897564244	-8.09656272816884e-05	6.5554325654363495e-09	1.5249726005813057e-05	-0.0048659969507521	-7.047404564571804e-05	4.966590691323022e-09	2.3677926324910685e-05	-0.000953110599998	-0.0623491600000011	0.0028584416999997	0.062261808700002	-0.0047611034999998	-0.0621163139000018	0.0066593191000002	0.0619128115000024	-0.0085513158000004	1
2.2155227789485344e-15	0.1179972220207062	0.5679738500641234	-6.365302551910193e-16	-0.0023510228713542	0.3163799507659102	1.7225693356102802e-15	-0.4206365894130511	-0.0069495168125685	4.8295783928242535e-05	0.1769351403530448	0.2802567647799505	-0.0454897623935303	0.0020693184826182	0.0785438542049244	-0.0921039054194774	0.0173397466315213	0.0003006668132448	0.00848312939352	-0.000126168052369	-0.0011301787495293	1.2773040065086149e-06	1.5918378819367176e-08	0.0039868425996039	8.175284317981645e-05	6.6835269329252115e-09	1.5894913915845773e-05	-0.0049327832749669	-6.6786324214577e-05	4.460413058799771e-09	2.4332350838717504e-05	-0.0013343049999981	-0.062321203200001	0.0040004728999999	0.062150058600002	-0.0066593190999998	-0.0618651658000017	0.0093059772000004	0.0614670461000023	-0.0119356034000005	1
2.766055305414008e-15	-0.0223122384040976	0.447070571303119	-2.3135392646192877e-15	-0.0012315045727667	0.5764731717095116	1.41891782354894e-15	-0.408257561025509	0.0123790283875427	0.0001532403438182	0.1666742361344974	0.3379655605131278	0.057708795733177	0.0033303051049723	0.1142207200929528	-0.1566741518522729	-0.0645702464327962	0.0041693167243925	0.0245467898586263	0.0030122735644988	0.0031384416168684	9.849815789645524e-06	9.073792024323563e-06	0.0038499281816561	-0.0001369144179492	1.874555670792881e-08	1.4821947004004704e-05	-0.0050568486579416	-0.0001240653829735	1.5392215133541248e-08	2.5571718350530403e-05	-0.0017154494999964	-0.0622839339000012	0.0051411591000002	0.0620011624000025	-0.0085513157999995	-0.0615308273000017	0.0119356034000005	0.0608743512000022	-0.0152837838000006	1
2.2980034428094264e-15	-0.1019580727605146	0.2940255202061673	-6.315933116389424e-16	-0.0005966419854718	0.8085291944900654	1.0065006668303606e-15	-0.4159207599527848	-0.0076631989272752	5.872461779907045e-05	0.1729900785597027	0.2374159631318953	-0.1005495973812328	0.0101102215335276	0.0563663395498455	-0.0668000893875405	0.089874062464734	0.008077347103918	0.0044622519421839	0.0003067886959301	-0.0027054848685712	7.319648377734465e-06	9.41193027152437e-08	0.0038542904662405	4.362284583365841e-06	1.9029030828266013e-11	1.4855554997454269e-05	-0.0048181308741949	0.0002387177837465	5.6986178997604563e-08	2.321438512146347e-05	-0.0020965299999981	-0.0622373577000004	0.0062801167999999	0.0618152091000018	-0.0104353268999997	-0.0611137478000015	0.0145433848000007	0.0601361434000016	-0.0185857283000007	1
2.518997071505107e-15	-0.137543784668338	0.1623823646119017	-9.924370923878206e-16	-0.0002493793054253	0.9754107993711914	6.419625677607852e-16	-0.4208441361456205	-0.0049233761928347	2.423963313567504e-05	0.1771097869281538	0.1449091035916836	-0.0925068595402081	0.0085575190619922	0.0209986483037455	-0.1040167554707107	-0.0372166660831696	0.001385080234346	0.0108194854186522	-0.0003308848948348	-0.0006376735907653	4.0662760708326353e-07	1.0948481536350354e-07	0.0037863293103871	-6.796115585039462e-05	4.618717694633209e-09	1.433628964460108e-05	-0.0048159059098761	2.224964319637889e-06	4.950513531041682e-12	2.319294973293217e-05	-0.0024775320999987	-0.0621814815999995	0.0074169630999997	0.0615923098000012	-0.0123095928000001	-0.0606144883000017	0.017124548600001	0.0592541874000011	-0.0218314478000008	1
2.681803522940981e-15	-0.1442826263651989	0.0674510809311515	-1.4796515635822785e-15	-5.942794407698083e-05	1.0768909736805994	4.735126631680148e-16	-0.4205014090298409	0.0003427271157783	1.1746187639355097e-07	0.1768214349960819	0.3529128787562284	0.2080037751645457	0.0432655704827074	0.1245474999920091	-0.1171889788174096	-0.0131722233466997	0.0001735074678951	0.013733256756265	0.000580884420835	0.00091176931567	8.313232837978169e-07	3.3742670898820226e-07	0.0040930641398854	0.0003067348294982	9.4086256798711e-08	1.675317405469337e-05	-0.0050712326111125	-0.000255326701236	6.519172464959581e-08	2.5717400198079307e-05	-0.0028584416999974	-0.0621163138999992	0.0085513157999996	0.0613325977000015	-0.0141723633999997	-0.0600337202000013	0.0196743707000011	0.0582305914000015	-0.0250111237000009	1
2.163629698229743e-15	-0.1334899298139974	0.0057071560892834	-7.842052405625611e-16	2.859200097958368e-06	1.1277799129332466	6.015531994681144e-16	-0.4374233733179564	-0.0169219642881164	0.0002863528753683	0.191339207524862	0.2603972579281778	-0.0925156208280541	0.0085591400971998	0.0678067319365131	-0.0854429234762775	0.0317460553411315	0.001007812029722	0.0073004931721724	0.0005309341565375	-4.995026429660348e-05	2.4950272947908423e-09	2.818910767807916e-07	0.0039106244854706	-0.0001824396544155	3.328422835664207e-08	1.5292983866164515e-05	-0.0053340827959261	-0.0002628501848129	6.909021950135633e-08	2.8452439276848303e-05	-0.0032392444999978	-0.0620418643999991	0.0096827934999999	0.0610362281000017	-0.0160218989999998	-0.0593722244000012	0.0221881843000012	0.0570678021000014	-0.028115136700001	1
2.384350030866317e-15	-0.1134948747096259	-0.030861736554383	-1.7488751221085053e-15	-1.2100516681262476e-06	1.1443578276568167	5.6260076460323025e-16	-0.4186672664563409	0.0187561068616179	0.0003517915446036	0.1752822800020245	0.2889504476891331	0.028553189760956	0.0008152846455238	0.0834923612197499	-0.1031082777130466	-0.0176653542367695	0.00031206474031	0.0106313169329491	0.0007350482918021	0.0002041141352635	4.166257901945472e-08	5.402959895917871e-07	0.0038677210686659	-4.2903416805280095e-05	1.8407032530738975e-09	1.4959266264070515e-05	-0.0049339588325003	0.000400123963427	1.600991861771444e-07	2.4343949762176177e-05	-0.0036199262999978	-0.0619581441999994	0.0108110158000001	0.0607033781000018	-0.0178564725	-0.0586308904000014	0.0246613887000011	0.0557685991000012	-0.031134096900001	1
2.1539891797915706e-15	-0.0902614322572786	-0.0491115077835374	-9.753992599685349e-16	4.523197094105592e-07	1.139372466256824	2.8692272501134124e-16	-0.4050111495728022	0.0136561168835401	0.0001864895283361	0.1640340312782821	0.2905445909931377	0.0015941433040037	2.5412928720134874e-06	0.0844161593553694	-0.0802350722390035	0.0228732054740424	0.0005231835286574	0.0064376668171975	0.0005780345685722	-0.0001570137232299	2.465330793433809e-08	3.3412396102604346e-07	0.0036041587401919	-0.0002635623284744	6.946510224057445e-08	1.298996022176068e-05	-0.0047330684203105	0.0002008904121894	4.0356957546986407e-08	2.240193667189342e-05	-0.0040004728999984	-0.0618651658	0.0119356034000003	0.060334246600002	-0.0196743707000001	-0.0578107151000013	0.0270894574000011	0.0543360880000012	-0.0340588713000011	1
2.3983535435465938e-15	-0.0677553679153061	-0.0544862563605204	-7.608253581080953e-16	-1.5817226940889186e-07	1.122241851688925	5.729093484150301e-16	-0.383303380775773	0.021707768797031	0.0004712272261447	0.1469214817141356	0.2865345478748247	-0.004010043118314	1.6080445809170794e-05	0.0821020471258293	-0.0958368758241458	-0.0156018035851428	0.0002434162751085	0.0091847067677313	0.0012043620121231	0.0006263274435507	3.9228606518371043e-07	1.4504878543286574e-06	0.0031477131516841	-0.0004564455885079	2.083425783932188e-07	9.908098079795976e-06	-0.0046709225978658	6.214582244537651e-05	3.862102506208611e-09	2.1817517916363687e-05	-0.0043808699999987	-0.0617629431000009	0.0130561782000007	0.0599290543000023	-0.0214738958000001	-0.0569128013000014	0.0294679463000011	0.052773693000001	-0.0368806120000011	1
