trial_type.cash	trial_type.control	trial_type.explode	trial_type.pumps	cash_demean	control_pumps_demean	explode_demean	pumps_demean	rt_reg.rt	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	intercept
-4.222209243172814e-14	-0.0003710296226676	-4.10637039915534e-08	0.2199489830694322	-1.5355800313540202e-13	-0.0019829071199688	-2.001856121224869e-07	-0.4129597769186897	0.486494747373792	-0.0730242000000005	0.0104737000000025	0.0001096983916921	0.0053325337856399	-0.069279600000001	0.0316884000000015	0.0010041546945603	0.0047996629761588	-0.110595000000001	-0.0452897000000009	0.0020511569260897	0.0122312540250005	0.0097522800000015	-0.0001423099999996	2.025213482432616e-08	9.510696519948791e-05	0.0006149919999995	0.0001882260000011	3.5429026969685655e-08	3.782151601235404e-07	0.0009887660000024	0.0002334810000018	5.451337780565946e-08	9.776582041771556e-07	-0.0704959515000015	0.0400821236000012	0.0012824970999998	-0.0422967282000006	0.0717551168000017	-0.0816093689000017	0.0691672152000017	-0.0378279629000009	1
1.63516816724916e-13	-0.0001118692299203	1.8370720281057878e-07	0.2476535007022227	5.709874088384204e-13	-0.0006211117552905	8.955726323390286e-07	-0.3332891216875976	0.4977766712560295	-0.0730196999999999	4.499999999951331e-06	2.025038396694962e-11	0.0053318765880898	-0.0733491999999998	-0.0040696000000003	1.6561644158922105e-05	0.0053801051406393	-0.0932412000000011	0.0173538000000008	0.0003011543744399	0.0086939213774402	0.0097522800000011	-9.17216850419888e-16	-1.5211008406293156e-15	9.510696519991444e-05	0.0004267659999995	-0.0001882260000007	3.54290277754121e-08	1.82129218901918e-07	0.0007405890000003	-0.0002481770000025	6.159182511420046e-08	5.484720664610937e-07	-0.0709234662000022	0.041563057600001	-0.0012824970999999	-0.0393350228000005	0.0696177779000016	-0.0816093689000017	0.0721591615000017	-0.0437500746000011	1
-5.646615785407149e-13	-1.3040548127653631e-05	-6.74230978121587e-07	0.2375192903558477	-1.9111760008804135e-12	-6.960104191189202e-05	-3.2868760274465306e-06	-0.1837311372156645	0.4789351627372249	-0.0730124999999995	7.200000000023283e-06	5.183936249003273e-11	0.0053308251562494	-0.0915688000000009	-0.0182196000000007	0.000331953824159	0.0083848451334408	-0.1134780000000011	-0.0202368000000003	0.0004095280742393	0.0128772564840006	0.0102052000000024	0.0004529200000004	2.051365257769385e-07	0.0001041461070416	0.0010179300000023	0.0005911640000032	3.4947487825829045e-07	1.0361814863642006e-06	0.0006626989999986	-7.789000000039579e-05	6.066851049444878e-09	4.391699644722642e-07	-0.0713432033000017	0.0430257605000009	-0.0038462255999998	-0.0363043104000007	0.0672896215000017	-0.0812872940000017	0.0747635377000016	-0.0493653110000011	1
1.8058650540632556e-12	2.465928828853893e-06	2.243089674030003e-06	0.2384216494361819	6.010203098025274e-12	1.2799064730578178e-05	1.093506216504786e-05	-0.0303936655308149	0.4952902746689499	-0.079813800000001	-0.0068013000000013	4.625768169034154e-05	0.0063702426704411	-0.0620386999999996	0.0295301000000011	0.0008720268060101	0.0038488002976885	-0.1049680000000009	0.0085100000000006	7.242009999990076e-05	0.0110182810240003	0.0097522800000011	-0.0004529200000011	2.0513652665858958e-07	9.510696519860924e-05	0.0010179300000027	-1.4400432556596585e-15	-8.963970901302148e-16	1.0361814850389186e-06	0.000712896999999	5.0198000001300056e-05	2.5198386712744487e-09	5.082221322343824e-07	-0.0717551168000012	0.0444695910000007	-0.0064061582999998	-0.0332099078000009	0.0647770290000017	-0.0806444153000017	0.0769663555000017	-0.0546342852000013	1
-5.501825306043927e-12	-9.249065161899982e-07	-7.01366513656416e-06	0.249760928683298	-1.806810877892262e-11	-4.827410905227333e-06	-3.419161754636147e-05	0.1390787529201887	0.540874708299279	-0.0774785000000008	0.0023353000000007	5.453626089766003e-06	0.0060029179622509	-0.0990808000000008	-0.0370421000000012	0.0013721171724102	0.0098170049286406	-0.0793836	0.0255844000000007	0.0006545615233598	0.0063017559489595	0.0106205000000017	0.0008682200000004	7.538059695671834e-07	0.0001127950202536	0.0007222340000016	-0.0002956960000006	8.743612444246284e-08	5.216219500707909e-07	0.0007591509999995	4.625400000019016e-05	2.139430954269297e-09	5.763102406253478e-07	-0.0721591615000007	0.0458939156000005	-0.0089597690000001	-0.0300572439000011	0.0620868871000014	-0.0796832699000019	0.0787557834000015	-0.0595200392000012	1
1.6165576044893353e-11	3.846103475536086e-07	2.102825316782982e-05	0.2143810511702569	5.2554086718846657e-11	2.031831016851703e-06	0.0001025127342066	0.2321312170803231	0.4988240316405746	-0.0729882000000001	0.0044903000000009	2.016279409034007e-05	0.0053272773392406	-0.0705692000000009	0.0285116000000014	0.0008129113345593	0.0049800119886386	-0.0744971999999995	0.0048864000000001	2.387690495991254e-05	0.0055498328078393	0.0097522800000007	-0.0008682200000025	7.538059698453802e-07	9.510696519845964e-05	0.0007679330000009	4.5698999999858096e-05	2.088397390223381e-09	5.897210929276263e-07	0.0006717939999989	-8.735700000038264e-05	7.631244662369507e-09	4.513071776534874e-07	-0.0725552932000011	0.0472981097000005	-0.0115045374000003	-0.0268518493000012	0.0592265694000011	-0.078407651100002	0.0801222105000015	-0.0639883028000012	1
-4.6161811971827305e-11	-1.578698047479865e-07	-6.108944274796841e-05	0.1880367136783307	-1.4878683141974543e-10	-8.428535873621585e-07	-0.0002978110334311	0.3370813861821436	0.4133761490205216	-0.0769648000000008	-0.0039766000000007	1.5813347559396037e-05	0.0059235804390409	-0.0767810999999998	-0.0062119000000006	3.8587701608594256e-05	0.0058953373172091	-0.0868332999999998	-0.0123361000000004	0.0001521793632097	0.0075400219888893	0.0099566599999998	0.000204380000001	4.17711840220405e-08	9.913507835567684e-05	0.0010179300000021	0.0002499970000007	6.249849965189857e-08	1.0361814863121228e-06	0.0007489959999991	7.720200000130322e-05	5.960148143384669e-09	5.609950081595124e-07	-0.0729434684000012	0.0486815572000005	-0.0140379523000001	-0.0235993474000011	0.0562039158000012	-0.0768225931000021	0.0810582975000015	-0.0680077345000014	1
1.28622101896579e-10	6.278406792273263e-08	0.0001731050417713	0.2113592387711677	4.1145984877045935e-10	3.382138902342019e-07	0.000843887078734	0.5113540106127346	0.4298359235815592	-0.0730313999999997	0.0039334000000007	1.5471635560161416e-05	0.0053335853859602	-0.1019260000000012	-0.0251449000000008	0.0006322659960085	0.0103889094760015	-0.1127620000000001	-0.0259287000000007	0.0006722974836891	0.012715268644	0.0101756999999999	0.0002190399999997	4.7978520572067486e-08	0.0001035448704896	0.0008206930000019	-0.0001972370000013	3.890243483984847e-08	6.735370021752108e-07	0.0007578779999992	8.881999999703112e-06	7.888866222852515e-11	5.74379062521906e-07	-0.0733236445000007	0.0500436514000001	-0.0165575132999998	-0.0203054443000013	0.0530272111000012	-0.0749343514000019	0.0815590168000012	-0.0715501408000012	1
-3.5062185883614513e-10	-2.4412437242125143e-08	-0.0004702082914256	0.2340171120079616	-1.1138313921936431e-09	-1.3259248531957498e-07	-0.0022922654209182	0.6912651846993909	0.4873411870750033	-0.0730032999999995	2.8099999999573036e-05	7.896094733867444e-10	0.0053294818108903	-0.0663473999999998	0.0355786000000012	0.0012658367779596	0.0044019774867584	-0.1346130000000005	-0.021851	0.0004774662009993	0.0181206597690009	0.0101010000000008	-7.469999999909357e-05	5.580089018014991e-09	0.000102030201001	0.0005782369999996	-0.0002424560000017	5.8784912514771567e-08	3.343580277679273e-07	0.0008127699999991	5.489200000122766e-05	3.013130326233344e-09	6.605950735816978e-07	-0.0736957799000009	0.0513837947999998	-0.0190607340999995	-0.0169759185000013	0.0497051625000012	-0.0727503781000017	0.0816216788000011	-0.0745906743000013	1
9.363287799034562e-10	9.301450528653632e-09	0.0011881637988693	0.250874287746953	2.9545529035334877e-09	5.09193464961357e-08	0.0057922985201302	0.8893412191501114	0.5494095140561247	-0.0767592	-0.003755900000001	1.4106784808495957e-05	0.0058919747846407	-0.0833276999999995	-0.016980300000001	0.0002883305880883	0.0069435055872891	-0.0973431999999998	0.0372698000000012	0.0013890379920401	0.0094756985862393	0.0108530000000021	0.0007520000000016	5.655040007051092e-07	0.0001177876090038	0.0010179300000015	0.0004396930000034	1.9332993325934338e-07	1.0361814836206928e-06	0.0006218339999974	-0.0001909360000007	3.645655658709466e-08	3.866775240683406e-07	-0.0740598336000005	0.0527013994999995	-0.0215451442999996	-0.0136166111000015	0.046246875600001	-0.0702792922000019	0.0812459471000009	-0.0771080077000012	1
