trial_type.CND_1_DR	trial_type.CND_1_RD	trial_type.CND_2_DT	trial_type.CND_2_T	trial_type.CND_3_DR	trial_type.CND_3_DT	trial_type.CND_3_RD	trial_type.CND_3_T	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	intercept
-9.751037782829257e-18	5.1518288449980467e-17	-8.231230846011409e-06	-2.1338590313529925e-05	1.4384833702310764e-16	-1.9824910520417062e-16	0.0012664415202563	0.005510571346985	0.132516386121282	0.0088750900206803	7.876722287507588e-05	0.0175605925906445	-0.0911948822563311	-0.0139826216576604	0.0001955137084211	0.0083165065497461	0.0020802621070933	0.0161476562731481	0.0002607468031157	4.327490434074998e-06	-0.0111070310944954	0.000860995361941	7.413130131945885e-07	0.0001233661397339	-0.0110013478177791	0.0001918256706792	3.67970878484793e-08	0.0001210296538077	0.0036471380047393	0.0002198780158258	4.834634184432868e-08	1.3301615625656832e-05	-0.0475033079	-0.0050610893000001	0.0543962362000003	-0.0690236255000003	0.0396101870000002	0.0150767054999999	-0.0601438397000003	1
-3.463443205766242e-17	1.1619176178227805e-17	-4.639996086394717e-06	-1.2762271093132855e-05	1.3654557416221796e-16	-1.1342041020371495e-16	0.000750089623468	0.0043999511982875	0.1009808082477695	-0.0315355778735125	0.0009944926718161	0.0101971236343726	-0.0748279175451493	0.016366964711182	0.0002678775338569	0.0055992172441435	-0.0260995799400157	-0.0281798420471087	0.0007941034977999	0.0006811880730452	-0.010642930872351	0.0004641002221442	2.1538901615256067e-07	0.0001132719775535	-0.0107589400511137	0.0002424077666654	5.8761525302294165e-08	0.0001157547910234	0.0029869271309112	-0.0006602108738281	4.358783979051534e-07	8.921733685456171e-06	-0.0478923942000002	-0.0039969203000001	0.0533805691000003	-0.0692999881000003	0.0417753080000001	0.0119382742999999	-0.0581677634000003	1
-1.6625389398458458e-17	4.45113499612729e-17	-2.519025192718406e-06	-7.373146199689252e-06	1.4974542794655952e-16	-5.720579918687083e-17	0.000362573703233	0.0029247752643222	0.1086188232930002	0.0076380150452307	5.833927383106519e-05	0.0117980487735559	-0.0608213010650891	0.0140066164800605	0.0001961853052193	0.0036992306632501	0.0029750744913463	0.0290746544313624	0.0008453355303031	8.851068228909973e-06	-0.0114370337354733	-0.0007941028631222	6.30599357101908e-07	0.0001308057406662	-0.0110363420341528	-0.0002774019830388	7.695186022621257e-08	0.0001218008454949	0.0030070940338306	2.0166902919289856e-05	4.067039615917744e-10	9.042614528433283e-06	-0.0482786822000002	-0.0029318172	0.0523368332000003	-0.0695115715000003	0.0438794160000002	0.0087747366999999	-0.0560251961000003	1
-6.211768751844731e-17	1.0994035491303173e-17	-1.3923000041656318e-06	-4.127888368802796e-06	6.174069304552011e-17	8.27021840966109e-18	0.0001029965692308	0.0016283601125933	0.0830271894579088	-0.0255916338350914	0.0006549317223491	0.0068935141892795	-0.0460707824694557	0.0147505185956336	0.00021757779884	0.0021225169973477	-0.0502727683875713	-0.0532478428789173	0.0028353327712578	0.0025273512413504	-0.0110298599620391	0.0004071737734342	1.657904817198744e-07	0.000121657810782	-0.0107390717124246	0.0002972703217281	8.836964422387165e-08	0.0001153276612445	0.0022719148712473	-0.0007351791625832	5.404884011390432e-07	5.161597182288367e-06	-0.0486621495000002	-0.0018660289000001	0.0512655775000002	-0.0696581780000003	0.0459194379000001	0.0055927457999999	-0.0537222702000003	1
-4.10948858904164e-17	-9.508064149320162e-17	-3.406814404428869e-07	-2.2363425190481905e-06	1.1640314062966977e-16	-2.81326935570955e-17	-5.7681365684767385e-05	0.0006849360660916	0.0732877056801302	-0.0097394837777786	9.485754425736018e-05	0.0053710878038573	-0.2006969603618097	-0.1546261778923534	0.0239092548895978	0.04027926989847	-0.1477986101336126	-0.0975258417460408	0.0095112898082738	0.0218444291574279	-0.0101216800121633	0.0009081799498756	8.247908214317255e-07	0.0001024484062685	-0.010868342024136	-0.0001292703117113	1.6710813315175963e-08	0.0001181208583537	0.0025411349330238	0.0002692200617767	7.24794417299203e-08	6.4573667479408605e-06	-0.0490427735000003	-0.0007998045999999	0.0501673651000003	-0.0697396705000002	0.0478923942000003	0.0023989931999998	-0.0512655775000003	1
-4.076031944171797e-17	1.2200160858696276e-17	5.5002550382320015e-08	-1.2087126832818594e-06	8.81534370429799e-17	4.114297689028707e-19	-0.0001466068319918	6.87759885471057e-05	0.103341119221128	0.0300534135409976	0.0009032076654661	0.0106793869218751	-0.1761061720849849	0.0245907882768253	0.0006047068680756	0.0310133838464264	-0.1849751891559137	-0.0371765790223004	0.0013820980278013	0.0342158206032665	-0.0103800714160001	-0.000258391403837	6.676611746848264e-08	0.000107745882601	-0.0100009911467267	0.0008673508774096	7.522975445110618e-07	0.0001000198239167	0.0031847699817204	0.0006436350486963	4.142660758524964e-07	1.0142759836339534e-05	-0.0494205322000003	0.0002666067000001	0.0490427735	-0.0697559728000002	0.0497954033000003	-0.0007998046	-0.0486621495000003	1
-1.278997215221858e-16	-8.507669499412554e-17	-1.9872915465048955e-08	-1.9079676105418265e-07	6.337399948716192e-17	1.6809525064301354e-17	-0.0001835507883912	-0.0002956864973399	-0.0311617545654596	-0.1345028737865881	0.018091023056852	0.0009710549475979	-0.0860799775168736	0.0900261945681116	0.0081047157084153	0.0074097625293051	-0.2498147895151636	-0.064839600359249	0.0042041737747469	0.0624074290605062	-0.0112019510768364	-0.0008218796608367	6.754861767043677e-07	0.0001254837079276	-0.0094963169741899	0.0005046741725369	2.5469602048218186e-07	9.01800360736964e-05	0.0009583649825301	-0.0022264049991902	4.956879220081785e-06	9.184634394522016e-07	-0.0497954033000007	0.0013329557000003	0.0478923941999997	-0.0697070697000002	0.0516256860000001	-0.0039969203	-0.0459194379000003	1
-6.69147912814513e-17	3.225940708461915e-17	7.796663133785996e-09	3.5633523786840844e-08	6.20629362059472e-17	1.5081072753428547e-16	-0.0001846564132795	-0.0004784912672754	0.0046483294080702	0.0358100839735301	0.0012823621141911	2.1606966286119515e-05	-0.0437654534738801	0.0423145240429935	0.001790518944985	0.0019154149177742	-0.2751991532362728	-0.0253843637211086	0.0006443659215255	0.0757345739419623	-0.0116127549929985	-0.0004108039161614	1.6875985742372145e-07	0.0001348560785273	-0.0092924110589707	0.0002039059152193	4.157762190431258e-08	8.634890328822237e-05	0.0014571260850538	0.0004987611025233	2.487626374994716e-07	2.123216427290757e-06	-0.0501673651000004	0.0023989932000003	0.0467168318999998	-0.0695930068000001	0.0533805691000002	-0.0071856304000001	-0.0430452931000003	1
-3.4628587478720936e-17	-1.8730658530212246e-17	-2.9605478156585863e-09	-1.3546114563840729e-08	1.86526196304291e-16	1.7320505603900077e-17	-0.0001638129322225	-0.0005335206237305	0.0435527843744126	0.0389044549663426	0.0015135566162281	0.0018968450267641	-0.1587427536027797	-0.1149773001288992	0.013219779544931	0.0251992618213929	-0.1968298454529961	0.0783693077832775	0.00614174840243	0.0387419880610504	-0.0102404962039424	0.001372258789056	1.8830941841360065e-06	0.0001048677625028	-0.009214921205978	7.748985299266857e-05	6.004677041889569e-09	8.491477283199666e-05	0.0022534274303845	0.0007963013453304	6.340958326938565e-07	5.077935183612022e-06	-0.0505363957000005	0.0034644700000004	0.0455167048	-0.0694138910000003	0.0550574896000004	-0.0103592291000001	-0.0400479417000003	1
-5.742769794547799e-17	-8.464339455487835e-18	1.1016268785750675e-09	5.681981559543018e-09	6.557161626858515e-17	3.1631777592765675e-17	-0.0001327561138958	-0.0005053644138021	0.0630729572496595	0.0195201728752466	0.0003810371490793	0.0039781979362174	-0.0150938958409758	0.1436488577618042	0.0206349943362709	0.000227825691658	-0.142397755577427	0.0544320898755693	0.0029628524082219	0.0202771207934889	-0.0086831554858022	0.0015573407181401	2.425310112588623e-06	7.539718919070395e-05	-0.0095773974736526	-0.000362476267675	1.3138904441202545e-07	9.172654236811844e-05	0.0024360169546521	0.0001825895242672	3.3338934369335254e-08	5.934178603128526e-06	-0.0509024736000003	0.0045291371000001	0.0442926440000001	-0.0691698894000003	0.0566539982000002	-0.0135110421000001	-0.0369359628000002	1
-6.328703040229449e-17	-5.227646897762136e-17	-3.97985957819537e-10	-2.326322258815257e-09	1.323566551449736e-16	-2.4740756866116738e-17	-0.0001000674340677	-0.0004309554411523	0.0720589143110007	0.0089859570613412	8.074742430816455e-05	0.0051924871316801	-0.1389383431295379	-0.1238444472885618	0.0153374471242094	0.0193038631915812	-0.1117222528952623	0.0306755026821652	0.0009409864648034	0.012481861791993	-0.009852532376352	-0.0011693768905498	1.3674423120757906e-06	9.707239422702773e-05	-0.0097348991421901	-0.0001575016685374	2.4806775533404843e-08	9.476826130846076e-05	0.0021301500236896	-0.0003058669309627	9.35545793655779e-08	4.537539123436012e-06	-0.0512655775000004	0.0055927458000002	0.0430452931000001	-0.0688612303000002	0.0581677634000004	-0.0166344412000001	-0.0337182636000002	1
-4.897294610672658e-17	2.7458247485059235e-17	1.4136723378884428e-10	9.27902189741982e-10	6.312357502412758e-17	-5.891571704502768e-17	-7.095558558239045e-05	-0.0003393173433782	0.117487928483499	0.0454290141724984	0.0020637953286851	0.0138034133393436	-0.1733915405427945	-0.0344531974132561	0.0011870228119968	0.0300646263318037	-0.1115516508546361	0.0001706020406265	2.9105056338540388e-08	0.0124437708083948	-0.0122529171391643	-0.0024003847628125	5.761847009721453e-06	0.0001501339784191	-0.0106550018610284	-0.0009201027188383	8.465890134631515e-07	0.0001135290646585	0.0032459431208644	0.0011157930971749	1.244994236132473e-06	1.0536146743918632e-05	-0.0516256860000004	0.0066550474000002	0.041775308	-0.0684882022000002	0.0595965743000004	-0.0197228578	-0.0304040542000002	1
-4.539641114686141e-17	2.8670697355487156e-17	-4.86313091733959e-11	-3.6096655346395264e-10	8.183059026173884e-17	-1.4411254355981942e-16	-4.771652322553204e-05	-0.000250148584158	0.0836401028155226	-0.0338478256679765	0.0011456753024496	0.0069956667989912	-0.1953003866900215	-0.0219088461472264	0.0004799975395027	0.038142241041272	-0.0408702014938237	0.0706814493608127	0.0049958672837451	0.0016703733701455	-0.0138332540186291	-0.0015803368794646	2.4974646526481038e-06	0.0001913589167439	-0.0110669395294078	-0.0004119376683795	1.6969264275746814e-07	0.0001224771505476	0.0029191853793318	-0.0003267577415325	1.0677062157360849e-07	8.521643278856818e-06	-0.0519827782000003	0.0077157937000002	0.0404833565000001	-0.0680511537000003	0.0609383440000003	-0.0227697969	-0.0270028205000002	1
-4.025455722977794e-17	2.4673568013793428e-17	1.6221663955115168e-11	1.37966289825828e-10	9.258009289212937e-18	-9.588688329694382e-17	-3.062097193674191e-05	-0.0001742742846855	0.1298082530991284	0.046168150283606	0.0021314981006096	0.0168501825726472	-0.2500409329452679	-0.0547405462552458	0.0029965274043226	0.0625204681481402	-0.0789211459919269	-0.0380509444981027	0.0014478743771977	0.006228547284679	-0.0133077147483526	0.0005255392702766	2.761915245701548e-07	0.0001770952718235	-0.0113471684374583	-0.0002802289080508	7.852824092531389e-08	0.0001287582315482	0.0038192963198526	0.0009001109405208	8.101997051756306e-07	1.4587024378817308e-05	-0.0523368332000002	0.0087747367000002	0.0391701179000001	-0.0675504934000004	0.0621911129000003	-0.0257688508	-0.0235242978000001	1
-8.006102688211205e-17	2.3862721100564625e-17	-5.177460444040359e-12	-5.1657222156809474e-11	1.238525736784308e-18	-9.85036730863508e-17	-1.8847735586179696e-05	-0.0001155295259558	0.1220901262568083	-0.0077181268423204	5.956948195389223e-05	0.0149059989294033	-0.1152351237903698	0.1348058091548986	0.0181726061819068	0.0132791337549818	-0.0519615705062572	0.02695957548567	0.0007268187103674	0.0027000048094767	-0.0130813615728153	0.0002263531755372	5.1235760075948586e-08	0.0001711220205987	-0.0114202199891806	-7.305155172227025e-05	5.3365291590767154e-09	0.0001304214246015	0.003586083697806	-0.0002332126220468	5.43881270269384e-08	1.2859996287686778e-05	-0.0526878304000002	0.0098316291000001	0.0378362828000001	-0.0669866893000003	0.0633530513000003	-0.0287137124000001	-0.0199784426000002	1
